With article id: 1478bf7b-1c23-4235-9ed2-b8c287fc952c and link: http://www.reuters.com/finance/stocks/INWN.NS/key-developments/article/3268357
'638590509603274752'	Inox Wind Says: Will Be Responsible For Entire Project Lifecycle @CNBCTV18Live
'641116270247579649'	@tcarmody But the chip derailed that, and once the IDEA of the chip was out there, Data's emotional arc derailed.
'648479756695023616'	*GLENCORE EXTENDS LOSSES; FALLS 30% IN LONDON TRADING
'649193645862715392'	@cestriankeef The vast majority of the feedback we've received has been overwhelmingly positive.
'641075096996704256'	"It was the first thing in the morning, and the last thing at night; till, I confess, it began to be something of a bore to me."
'642249232464764928'	Hidden cost of Glencore’s African retreat http://t.co/63wHJbPQn4
'643967732329914373'	Need a new place to live? These probably aren't in your price range: http://t.co/zQxkAWxmtH
'646379974887211008'	@superpac I'm way happier owning my own DVR equipment. Price is way better, works way better.
'643013797112848384'	The idea of #SANParksMAHALAWeek was conceived in SA in 2006 afterrealising that a vast majority of SAfricans were not accessing the NPs
'641111973153914880'	The last quarter of the movie was non-stop, "And THAT'S the origin of THAT!"
'642674224667172864'	Peter Obi was a definition of excellence from the last set of governors.  Zero debt and left so much in the treasury, education was tops.
'645096776542851072'	@renaissanceizz This would be down to the rules of your ticket. The fare of the ticket will also have gone up in price since you made it. ^C
'644041486326214656'	All those people who thought Twitter was representative of the nation in the run-up to the election seem to be at it again #Corbyn
'640884779252977664'	Glencore’s Ivan Glasenberg takes a gamble http://t.co/scUO3qXKwH
'641255925383340033'	RT @tomgara: And verily so it was that on the 44th day of the Outrage of the Lion, the Harvester of Teeth broke his silence: https://t.co/V…
'644517754649878528'	@AsafZilka @BDSmovement vast majority of Palestinians support boycott efforts, 86%
'638627606821081088'	Ciaz diesel hybrid another Maruti masterstroke. Great price (thanks to tax hybrid tax breaks) &amp; record efficiency. http://t.co/c5E8G2zNb8
'646255072947666944'	US biotechs in focus after Clinton price gouging comments | CMC Markets UK http://t.co/6bmAIU4FVK
'648441523118456832'	When was the last time $BUD was in the midst of a very large transaction?
'648404532536324096'	"Large financial institutions keep getting caught manipulating markets!" "That new nerdy way to do decentralized financial markets is dumb!"
'640942956640272384'	RT @economic_hitman: "The fact is, we are engaged in a war of survival. The way to win it will be to focus on the global problem." - #Hoodw…
'641223215549952000'	Glencore has announced plans to suspend production at its copper operations in the Democratic Republic of Congo... http://t.co/byK08O0Z6z
'641185645537329152'	By and large, a major crux of the entire discussion was that in terms of its economy India is relatively untouched: Arun Jaitley
'645948596672708608'	Energy adviser urges limit on price cap http://t.co/u53H4sIdO4
'641975329398071296'	Bringing transparency, price efficiency&amp; transaction-based benchmarks to interbank lending aligns with @CBOE’s values, expertise, experience
'640787231741988864'	RT @business: #Glencore up 12.5% in early London trading after announcing planned sale of assets and shares http://t.co/D1IMEFvZmQ
'646837364405481473'	Capturing Southeast Asia’s financial-system opportunity - The vast majority of the region’s transactions are in ca... http://t.co/79VvsdSu4K
'640787804608446464'	RT @business: #Glencore up 12.5% in early London trading after announcing planned sale of assets and shares http://t.co/D1IMEFvZmQ
'640889223936122880'	Glencore’s Ivan Glasenberg takes a calculated gamble http://t.co/BE1PQHI5AX
'648563627482574848'	RT @business: BREAKING: Glencore falls 17% in London - its largest ever intraday decline http://t.co/FkopLEsBGk http://t.co/hbe9tgIhY4
'646256774056509440'	RT @business: All of the main metals in London fall more than 1%; Glencore drops 10% http://t.co/gZLlHJTh2j
'641373754073989120'	RT @vivian: I feel like Jim @Bankoff is a glaring omission from this years's @VanityFair Establishment List 2015 http://t.co/GiAmepwB2w
'641173943567687680'	PIA-5/ALBAY: The Mines and Geosciences Bureau (MGB) Bicol annouced that the Philippine Society of Mining... http://t.co/fgs8Wjxkt1
'641360811512885250'	@3_esse: Ha ha! Haven't seen it in a while, and am struck now by its simplicity. And the endearing naiveté of the monk :-)
'645876600139984897'	@BrenFinan vast majority. Tweet with screenshot is in podcast notes
'642729549520875520'	This is also a triumph for those of us who represent the will to put politics at the service of the people http://t.co/xz7h1PL0d0
'639504128935235584'	Rep. Price appointed co-chair of committee aimed at healthcare improvement, efficiency. http://t.co/mV1H2swdWf http://t.co/V21E2rgYKH
'646256732419788800'	All of the main metals in London fall more than 1%; Glencore drops 10% http://t.co/gZLlHJTh2j
'641115278236090368'	Nderitu: That is why the prosecution request on the issue of interference was denied #PowerBreakfast
'648968368129576960'	RT @Cole_Anderson86: Wow, I see you forgot to mention the most important one, me. Jeez, talk about a glaring omission.  https://t.co/qtIIoS…
'642955918179741696'	RT @anthonywx: Squall line with bow segments progressing across French/Italian Riviera. http://t.co/O58Yr8ibnb
'641447152829382656'	$2.1B on Waikato Expressway. "low" economic efficiency according to NZTA. Same price would electrify North Island rail. #priorities #nzpol
'643422371295137796'	I promise you the vast majority of mobile audiences do not look like the vast majority of the mobile teams in major newsrooms.
'643691483711668224'	Glencore’s Zambia unit to cut jobs http://t.co/kiRXkEh5l2
'649287162794516480'	What's the future of energy efficiency? Technology is going to make energy efficiency easy, fun, and engaging. @PPLElectric #projectenvolve
'646038656818528256'	A Radical Way To Rethink Resource Efficiency Starts With...Cacti? http://t.co/jGuCkecBCj
'644457949461630976'	Malema: On the 27th of October 2015, the EFF will lead a protest action and March to the Chamber of Mines, Reserve Bank and JSE.
'648431277595566080'	RT @alykhansatchu: Glencore Plunges Record 17% in London Trading http://t.co/FAcORBAEE3 via @businesshttp://t.co/WwCGGs0orV
'641179182907584512'	ADBI WP537: #Financial #Inclusion, Financial #Regulation, and Financial #Education in #Thailand. http://t.co/XhdLnJnfBs via @ADBInstitute
'641815733404598272'	@67sound Their offensive efficiency is bananas. They should win the whole thing.
'641820755060068352'	In the 'world of animals' a bird was killed by the giant machine.  https://t.co/VjmXtBS4mx
'648478166034567169'	GLENCORE EXTENDS LOSSES; FALLS 30% IN LONDON TRADING
'643113467982036992'	Does Hillary face 'trouble?' Generically, yes. But failing to point out that she blows away her potential rivals is a glaring omission 2/3
'644364689388929024'	Vast majority of Illinois students fail new test, preliminary results show http://t.co/NHD30b5Ymu
'645693166960558080'	@ClarkeMicah Look including me in comment makes it look like I am the the idiot accusing you of spin, and I was the one saying u are not
'648532894017847296'	Gérard Mestrallet, Chairman, CEO @ENGIEgroup says we must get carbon price but also bigger investment in clean energy &amp; efficiency. #CWNYC
'648925610497052672'	Glencore to meet debt investors in London to ease fears http://t.co/R5KOFU2Hc9 http://t.co/b1aCJ8B9WI
'644821940646113281'	Farmer Focus: Goat milk bucking dairy price trend | #OrganicNews http://t.co/0RB3wVaaWH
'646574853164675072'	Port efficiency improvement has been a major focus area: Secretary, Shipping, Shri Rajiv Kumar
'644491856403935232'	[CNA] SMRT says it cannot explain jump in share price http://t.co/I6aAH9G35b #SGnews
'639751152305864705'	The objective of the march is to force the Chamber of Mines to accede to the NUM wage demands in both Gold and Coal sector.
'641185098914770944'	RT @citifmonline: I was part of the transition from O and A levels toward the end - Prof. Djangmah #CitiCBS
'642475929781051394'	Opinion:  Ivan Glasenberg, Glencore’s hard charger http://t.co/0wZOBkDFTB
'645972670958297090'	RT @Make_It_Right: If the price seems to good to be true, it probably is. Here I explain what to do when a renovation goes wrong: http://t.…
'644094752791601152'	Elbow's Guy Garvey is going solo with his new album Courting the Squall http://t.co/efsygZCMok
'646892644627419136'	STOCKS IN FOCUS : Lupin takes 200% price increase in Fortamet; CS upgrades to Outperform
'639435050149351424'	The aim of which was to ensure discipline, regimentation and justice in the system. 19/
'644625669587124224'	Squall moving over Rockford, IL- https://t.co/uDze0Gwppe
'641184465876709376'	By and large, a major crux of the entire discussion was that in terms of its economy India is relatively untouched: Arun Jaitley
'648423937953677313'	BREAKING: Glencore falls 17% in London - its largest ever intraday decline http://t.co/FkopLEsBGk http://t.co/hbe9tgIhY4
'643653957441703941'	And dropped the price of oil in the process  https://t.co/VMhwKNo1cf
'645975908705243136'	Monetary Policy Should Focus on Price Stability. Read the story http://t.co/OApURapgHZ
'640448854119333888'	@DigitalWasp @KevinMullins10 think I was being helpful to the many (the vast vast majority) of good people in the party.
'641168588620079104'	.@StewartMRegan how was it rectified? Most of the wheelchair users I was beside, including my companion, didn't see the game?
'640493995454517248'	So far on mines #ANCYL resolves that the state expedites the creation of the state owned mining company #SABCNews
'640139388433924096'	RT @KDMobp: The Commisioner has made it clear that at the end of the submissions, a small technical team of experts will be set up in the M…
----------
With article id: 1305bae3-4711-4c15-abe8-bdfd34cfd6db and link: http://www.bloomberg.com/research/markets/news/article.asp?docKey=600-201509080939M2______EUPR_____ea34000001d66b1c_3600-1
'638505456974077952'	@ellenwatson Hello, please follow/DM the confirmation # and I will submit your request.  *RS
'643705823043166208'	@charliec88 Can you DM your membership number and contact information so our team could follow up with you? -Chloe
'639083747275603969'	@ucsigmachi Our flight information team probably hasn't updated the board. We hope to have an update soon.  ^JH
'649136925866074112'	UPDATE - Kremlin approves Putin's request to use military force abroad http://t.co/d0A8EStfKe http://t.co/qI47ireNNC
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'646282898383831040'	[updated blog post] lots of internal and external dialog prompted an update!  http://t.co/dBOQP3MaCO
'639836575791218688'	@LaughingJ0ker Update will follow ASAP.
'642361596694495232'	Watchwords: English, and the Oxford English Dictionary, continue to evolve http://t.co/Uj9B3CcMya
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'640186972624003073'	@SxtrickyLa IF you can supply us with your email we will update your records.
'639715385814593536'	@kayetinga If you could send us a DM with your contact information that will be great, so our team could follow up with you. -Chloe
'648605284169052161'	RT @ATCEMS: UPDATE ~24800 Hamilton Pool Rd: FD, STARFlight, ground unit just arriving onscene, no updated patient information, MTF
'641091716724842496'	FIRE UPDATE: Click the link for the most updated information about the fire in Paintsville. http://t.co/9rTYZctqU2
'643454988027621376'	@dtorrington Hi there. We have requested feedback from the relevant department and will update you once it has been received. Thank you
'647326735407706112'	2. Know your partners 3. Understand the legal framework of FDI in #Iran says @DentonsEMEA #EuIranForum
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'641200982479765504'	@KeshiaKon Can you leave us your contact information, booking reference number and membership number so our team could follow up? -Chloe
'648605192754229248'	UPDATE ~24800 Hamilton Pool Rd: FD, STARFlight, ground unit just arriving onscene, no updated patient information, MTF
'645126218711453696'	The press release entitled, "Chronology and Update: Freeway shootings," has been updated here: http://t.co/MI723eDGnk
'640926353349570561'	@Xlib which lawyers, law professors &amp; legal experts are you looking to to understand this ruling?
'645818850760650752'	@leighbooth Could you please DM us your booking reference and flight details and we will chase up an update :) ^NM
'639795523810037760'	RT @MatthewKeysLive: Area Man Doesn’t Understand Legal System http://t.co/O98OBRGjXD
'648801913580859392'	@Zed_04 mine updated and seems to be okay now maybe see if there's an update?
'644196793660608512'	2. @brokenbottleboy has updated his post. You should read the update if you missed that bit.
'644999307918221313'	RT @publiceyestl: MTC/Uber update. Judge Autry just denied Uber's request for a TRO. I have not other information.
'641184993339817984'	@SantosChaubey1 Our team is working on your concern and will call you back to share an update. - Roshan
'648668855942926337'	am loving @BernieSanders
'641308925476913153'	@EpicMatty2100 Great, good to hear! Thanks for the update. Let us know if you have any other questions! ^GC
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'641238682280792064'	@PHAC_GC When we take the entirely unnecessary step of emailing you to request an update, we find your address is bogus. You can do better.
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'642972677024653312'	@JonPodany I have sent a request over to the baggage department for an update. *KC
'643819784782618624'	What Part of Legal #Immigration Don’t You Understand? http://t.co/iSmwMBpfBx
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'642099848863457280'	(Update) U.N. General Assembly overwhelmingly approves #Palestinian request to fly its flag http://t.co/1i59RfbjJH
'638539010558795776'	UPDATE: Newtown Police have responded to @BuzzFeedNews request for comment - http://t.co/k9M5MaPzmP http://t.co/o5rrP6Wr3z
'643640399446147072'	Don't torrent; find cheap games the easy AND legal way. http://t.co/npbh5nZ5GN
'638568265032167424'	Please read this. I personally don't understand how cigarettes are still legal. http://t.co/QPTZHpFHNr
'644710218308325376'	@EilidhEggs Hi Eilidh, thank you for the given information. We have forwarded this to the team to look into this and will update if any!
'641256633021022208'	@Melnatx Great, thanks for the update! Let us know if you have any more trouble :) ^GC
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'640684167206862848'	@mumdaze Probably won't update past stories, however may be filing updated ones
'640589870889574400'	@rick_hough Coincidence. I teach legal English too :) @theitalianlawjo
'641148008982118400'	@snakenewton Sorry to  hear this. We've requested another update from the team and we'll get back to you as soon as we hear from them.
'641751914342805504'	LAW REVIEW: Deciphering legal terms in contracts. http://t.co/pGILP4iMxD http://t.co/CYlHol2Gql
'639932809134522368'	@aldrete1977 Not sure if we totally understand, so you tried and the update failed? Is this the case? ^FC
'641333169392865285'	@daniyalkhan57 Will update you on this.
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'646762209264144385'	Update on my Halloween hack request: https://t.co/nXXhSWfzle #parenthacks
'643891570287247360'	"We regret the court's decision; we understand the Government is considering all legal options"
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'643451894497718272'	RT @KSUTechHelp: UPDATE: For registration issues during the outage, call 330-672-HELP to submit a support request w/ your student ID number…
'641139739618332672'	@jr_de_Graaf working hard to get back in line. If you have other questions you can contact our Sales Office and see if they can help. 2/2
'641115003307880448'	Have our analysts do the research while you trade and profit. http://t.co/rgg11TwyWt
'649136926495244288'	UPDATE - Kremlin approves Putin's request to use military force abroad http://t.co/d0A8EStfKe http://t.co/Fa2VqUJTHl
'644303569005477888'	@carenglasser Can you follow and Direct Message your confirmation code so I could research?  -Gabe
'641182337586216960'	@tweetlalit Our team is working on your concern and will call you back to share an update. - Roshan
'645382659812798464'	If you update to iOS9 on your iPhone, you can find and subscribe to @WVGazetteMail in the new news app.
'644033981898485760'	@Aadee_khi Will have this checked again and update you accordingly
----------
With article id: da45ca1d-a57f-4a8f-a99f-9c9a63310b0c and link: http://www.telegraph.co.uk/news/earth/energy/11849533/It-is-not-too-late-to-rethink-this-countrys-nuclear-power-strategy.html
'641314058944294921'	Ed Miliband was 'one of the worst Labour leaders in history and he should say sorry' - Simon Danczuk twists the knife http://t.co/MUwB9NHOyS
'644930287692939266'	Ho Polytechnic seeks self-sufficiency in energy http://t.co/54CijkHv62
'645827939066617858'	At 0810: @AmberRudd_MP on the government's guarantee of a £2bn investment by China in Hinkley Point nuclear power station.
'646052189127905280'	Griffin says Social Safety Net Programme Amalgamates Efforts, Will Lead to Self-Sufficiency via ... http://t.co/jzyh3P2H15
'641881066840674305'	Refugee assessment will be done in the refugee welcome centres set up around the country-@FitzgeraldFrncs http://t.co/uUo2yFkXmL
'645781707740872704'	Remember, Mets fans: it's not too late to blow it.
'640896141299724288'	RT @BougieBlackGurl: If you are reading this you're not too old and it is not too late. It is only too late when you are dead. #MondayMotiv…
'641774432848072704'	It’s time to embrace wind energy in the Texas Hill Country | @DallasPolitics http://t.co/7J7h46rr8D http://t.co/b7LcNvjll0
'641568489698951168'	PM says he hopes whole country will come together to deal with refugee crisis properly #pmqs
'638766156371857408'	RT @ArnieEtc: @EDWARD5658 Agree. But it was exactly the same when Labour was in power too. Time for @YorkshireFirst
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'644590901143162880'	It is no doubt of shame and embarrassment to Fransman that it is a DA government which is the leader in South Africa at caring for the poor
'644758629535514625'	#LIVE: We want to focus on giving the poor a life of dignity and self-sufficiency: Narendra Modi.
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'649299168050200576'	RT @Tony_McNulty: Excellent speech from @tom_watson - a panegyric to the last Labour Government and why winning, and securing power, matter…
'641798511877586945'	German toddler welcomes young Syrian refugee to her country in sweetest way: http://t.co/w5OAsNb4hg
'640332160021458944'	Is it too late to take a bath after 2am?
'645524970114682881'	@PlainTeaGirl Rata Uda :) Hill Country UP Country
'641182477202124800'	@drewfhinshaw I did already Drew and it is an excellent piece - too much of the reporting so far has been irresponsibly one dimensional!
'644132384342953984'	@EL_logical The point of the visual is that this was a kid who had a history of loving science, and none of that was taken into account.
'641120056827473920'	It is not too late to rethink this country's nuclear power strategy http://t.co/h2niSeJWcj
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'639492962053959680'	Harper: "Our country has the most generous refugee system in the world."
'638708648345251840'	Matiase: The only solution to deal with this problem is to vote the ANC out of power and replace it with a radical and militant party, EFF.
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'641322361917194241'	The UK has been one of the main beneficiaries from free movement of labour in the EU http://t.co/sqe9fmrZ8e
'647032468026036224'	@shibuyashadows what you're really talking about is dependency. The route to independence isn't cash, it's self-sufficiency.
'641527904942161920'	Cabinet clears National Offshore Wind Energy Policy for use of offshore areas within Exclusive Economic Zone, EEZ, of country.
'645851816396255233'	Eish!! Is it not too late in life to understand and embrace rugby?  https://t.co/NL6H8jyzuJ
'649281818127114240'	@Paulnuk @Schroedinger99 @david_colquhoun Interesting. And no argument.  Makes sense -thinking of various nuclear power accidents too.
'648901426647826432'	RT @sperrineWTAE: Going to talk to @JebBush about his energy plan. He's in frack country. #WTAE
'645915496471244800'	Lumber self-sufficiency rate climbs above 30% first time in 27 years http://t.co/XHu9qzckrP
'645698067782496256'	@juansantoswx Too early to know at this point and there may not be much of a difference by the time the event is over.
'639704503944548356'	.@BarnsGreg Real problem with citizenship bill is that it won't deter, it's far too broad and it allows ministers too much secretive power
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'644647534346895361'	Dugdale: "One year on we must take the energy and enthusiasm of the referendum and use it to transform the lives of families in Scotland."
'648961592760107012'	@Miffy_UK I am! Is it too late?
'647377473907240960'	"Time to rethink Syria". Finally, the geniuses start to get it. Too late as usualhttp://t.co/6ToIphALBv
'649004980708507648'	RT @richelord: Jeb Bush holds energy policy "tent revival" in fracking country @CPotterPgh reports http://t.co/o7EF0yuvLf
'641339396541693952'	The Green Lantern theory of baseball? If only the fans had shown up and cheered louder, Harper would have homered!
'639173749556678656'	It is indeed very late to fashion Israel anew - but it’s not too late http://t.co/ZZqmE7RjtP http://t.co/3k2JCzIzk1
'640982165480710144'	RT @NeilJEdmondson: Let's be the world's smartest country on refugee policy, not the country that panics the most.
'641867150521556992'	the Indochinese refugee crisis has lessons to offer for today’s Syrian exodus says @annehammerstad  http://t.co/WRmzqelyBl
'647338180107223040'	@le_Sabre It doesn't have to be a trade-off: the PM is the head of the government and the army chief is the head of the army.
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'641519665521524736'	(I too find it hilarious this is on our country's official website DEAR GOD this is silly)
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'641186908463230976'	Ease of doing business, cost of labour and capital, stalled projects was raised by participants at the meeting, says @arunjaitley
'638708648257191937'	Matiase: The only solution to deal with this problem is to vote the ANC out of power and replace it with a radical and militant party, EFF.
'639503615347060736'	"I think that he's a low energy person, and that's not what this country needs." - Trump on @JebBush
'645606616176312320'	@zfiledh Thank you for the details Zel ! :)
'640018837576925184'	@djolder It was really fantastic. And the perk of being late to the party is I only have 3 months to wait for the next one.
'643778789718163458'	Editorial: For food self sufficiency http://t.co/JhIeSjd8lv
'645001992805445632'	Refugee Profile: From a Burundi massacre to self-sufficiency in Houston http://t.co/Hwa1pTp95h via @houstonchron http://t.co/BCvOVveUlH
'641673115555233792'	@ErolTekin28 @lucasthorpe whose country? and which country?
'642496110523584516'	Refugee crisis: Our compassion repairs their souls. Their passion remakes our country http://t.co/DjEetwthOl
'641306373507170304'	on the US labour movement and how it dealt with slavery and racism https://t.co/rxr9C4OfZU
'648981572192894978'	Is it time to rethink your R&amp;D infrastructure strategy? - Vantage https://t.co/vdf6GexhSR
'647849453957722112'	Also told the Swedish PM that he looks to Sweden to help his country can provide in the energy sector
'643616581394694144'	Abbott thanks family, staff especially COS Credlin, and the country.
'639137158767464448'	Of 99 nuclear reactors in the country, the Pilgrim nuclear power plant in Plymouth is now one of three with the lowest safety rating.
'641051221445472256'	@AndsomeHandsome Please disconnect your router and console from the power source for 3 minutes, reconnect them and try again.
'648668855942926337'	am loving @BernieSanders
'644755882924863488'	'We want to focus on giving the poor a life of dignity and self-sufficiency': PM Modi in Varanasi
'640146676653625344'	@Graeme__McGuire the approach to Assad has been completely wrong and i hope its not too late to change it @Dannymakkisyria
'641215694344986624'	"He's been one of the worst Labour leaders we've ever had." @SimonDanczuk on EdM on #BBCDP
'649368373885841408'	MT @castroideas: @pcousteau reassures the @ClimateReality leaders that "it is not too late" to create a more sustainable future #CRinFlorida
'641244799056642050'	Is it too late to re-consider the Song of the Summer? https://t.co/dhQar5uEma
'641111973153914880'	The last quarter of the movie was non-stop, "And THAT'S the origin of THAT!"
'648488530189135872'	@BeanfromPa @meyerbade No, refugees. If you are fleeing a war-torn country, you are a refugee.
'648102209729642496'	New Rice Variety May Boost Self-Sufficiency, But More Research Needed: Joko http://t.co/wwkjllKWtd
'641075096996704256'	"It was the first thing in the morning, and the last thing at night; till, I confess, it began to be something of a bore to me."
'642006627227422720'	RT @ReutersOpinion: The Indochinese refugee crisis has lessons to offer for today’s Syrian exodus: http://t.co/wiTqzuSReX http://t.co/bVCb8…
'639132799853838336'	Which country has the most wind energy capacity? Take the quiz and find out! http://t.co/8s7pAZdXDq #wind #energy #green
'638841993158893568'	RT @PIDF01: Deputy PM Thailand opens the Thailand Self Sufficiency Exhibition #PIDFSummit #climateaction #climatechange http://t.co/Y37pX5K…
'641310807142346752'	Would have been more interesting if it was after the Labour leadership result https://t.co/0NLxAdUcOd
----------
With article id: 7df1df00-cf85-4584-bd5b-5a38e35b5694 and link: http://finance.yahoo.com/finance/news/atlas-financial-holdings-present-keefe-123000702.html
'643500898115842050'	Health Insurance company commissions Ultra modern Hospital: Acacia Health Insurance limited, a private mutual ... http://t.co/1Jl3dVT3W6
'649263155026202624'	That hurt my insurance company more than it hurt me.  #painless https://t.co/IdzRrN1pm8
'643829703892008961'	RT @radleybalko: Insanity: In Texas, an insurance company is paying prosecutors to pursue insurance fraud cases. http://t.co/ByN0CX2nT9
'645731774560137216'	Just posted a photo @ New York, New York https://t.co/0PZ2PDUUaP
'646201710260654080'	Chief Executive of Etihad Airways Partner airlines gather in Rome for leadership summitThe chief executive... http://t.co/MKL3z73UfM
'642398997764812800'	The 10 Best Films at the 2015 New York Film Festival: http://t.co/ROLaUMoRNl  #Carol #AndNineOtherMovies #NYFF2015 http://t.co/5Ho6Qxpn96
'646336471352389632'	 @ New York, New York https://t.co/nHtOjxFedp
'640154777452740609'	Minerva Neurosciences to present at Baird Healthcare Conference http://t.co/oeBcS9JvyY
'645831851118997504'	@UnemployedGenY @curtosys @paulg What's so terrible about being paid the cash equivalent of health insurance, and then buying the insurance?
'643756617415049217'	Ghana Reinsurance Honours SIC Insurance: Ghana Reinsurance Company Limited honoured SIC Insurance Company for ... http://t.co/Of8j4TeE65
'646849502880636928'	Video: Happy #Empire premiere with Lee, Mariah &amp; Maxwell. (at New York, New York) http://t.co/5Ztg84U6tw
'644866073934868481'	Today at 10am, I'm delivering remarks to the Business Council of New York State in Bolton Landing. @BusinessNYS
'641257985394802688'	Elisabeth Bumiller named Washington bureau chief at The New York Times:http://t.co/IoFelyFGaR
'644138469233573888'	RT @kaul_vivek: Insurance company business plans are all fiction. @authoramish  at @firstpost salon
'642996254243483648'	Repost by @limasocialdiary in alexanderwangny outfit @ Pier 94 New York, New York 10019 https://t.co/M8ECa0BTDi
'641934813214052352'	The National Insurance Commission (NAICOM) has given insurance companies in the country up to September 30, 2015,... http://t.co/HMjpQUDOjZ
'643515068878032896'	@31philliplim @ Pier 94 New York, New York 10019 https://t.co/g7gveUx2ik
'642252047958454272'	Chief Executive to visit Jakarta http://t.co/hZkWGO1bWZ #hknews
'642152202878844929'	What will they do, play New York, New York? https://t.co/eD0tMukmPE
'648903960510787585'	Md. biotech CEO to present at conference  http://t.co/XBYwGoevjY
'641364659941982208'	RT @Skepta: NEW YORK, NEW YORK!! Link up in the courts on the corner of Houston and 6th Ave @ 6PM.
'646701754994847744'	#Volkswagen chief executive Martin Winterkorn has resigned
'647852695051739136'	Joseph P. Keefe Regional Technical School awarded Financial Education Innovation Fund grant http://t.co/KfQZ22l6j3
'647059709351043073'	Intelsat’s Chief Financial Officer to Present at Deutsche Bank 23rd Annual Leveraged Finance Conference http://t.co/uMbuyajss5
'644874772950700032'	Special thanks to @SwissRe for hosting the 2015 Executive Program on Insurance Capital &amp; Risk Management!
'643515072178987008'	Video: @31philliplim (presso Pier 94 New York, New York 10019) http://t.co/pgRTWf02JN
'641361257249943555'	Qalaa Holdings to introduce Rift Valley Railways at conference - http://t.co/6s5PMx7s7A http://t.co/8xbxaDCpKa
'643834615698878464'	RT @radleybalko: Insanity: In Texas, an insurance company is paying prosecutors to pursue insurance fraud cases. http://t.co/ByN0CX2nT9
'644023291837939712'	Chief Executive CY Leung says, as the Central Government appoints the Chief Executive, and the principal officials… http://t.co/2JnkSenG2b
'644059039446499328'	@Dean_Chadd Hi, Have you contacted the insurance company directly? TB
'645830887842562048'	RT @CarolinCNBC: Zurich Insurance expects continued weak profitability in general insurance, conducting in depth review of the business
'638546216146436097'	Should the entire financial sector was more like insurance/re-insurance, to make us safer from catastrophes?   http://t.co/Pg1tfdNQDI
'645830859413692416'	Zurich Insurance expects continued weak profitability in general insurance, conducting in depth review of the business
'641847347446595584'	Vegas Eats: Tom's Urban at New York New York http://t.co/qyxH3F3Gil #vegas
'641243720323584000'	September, eh? (at @ThinkCoffeeNyc in New York, NY) https://t.co/1kFhUuGpMZ
'646118018255196160'	Homeowners suddenly dumped by insurance company http://t.co/4nCAYHkZdE
'641065158278778881'	New York City, 2015: http://t.co/pKKlDpRlLs
'638729785519288321'	Inventergy to Present at Rodman &amp; Renshaw 17th Annual Global Investment Conference $IVNT http://t.co/maInBv5SMH
'641070328677072897'	AccuTrack Radar on the hour. It's September 07, 2015 at 10:07PM http://t.co/NZL3Z86ZVw
'648288946481426432'	At the Clinton Global Initiative annual meeting in New York, September 27, 2015.PHOTO CREDIT: Getty Images http://t.co/XFoxpe7LTc
'641613941030952960'	GTX Corp to Present at the SeeThruEquity Fall Microcap Investor Conference $GTXO http://t.co/uJFYfBUfot
'641084651952541696'	AccuTrack Radar on the hour. It's September 07, 2015 at 11:04PM http://t.co/BiUjvFlnjP
'641092073169494016'	RT @DreamMarket_T: This is a good sign for the SME sector and the insurance sector as it will encourage uptake of service  #Insurance  http…
'646900345499594752'	Volkswagen chief executive Winterkorn resigns http://t.co/bqVDPeL7sb
'641291405067952128'	@BharatiSawant At the moment the flights from Mumbai to Germany are listed as scheduled on 10 September 2015. /Ted
'639891919083016192'	@jpodhoretz The twist at the end is worse than anything in Atlas Shrugged.
