With article id: 35de6aea-82a0-41a8-9af8-38773e1dfc2c and link: http://www.newsonfeeds.com/article/20338034/Your%20Money%20Adviser:%20For%20College%20Students,%20Choosing%20a%20Bank%20Account%20Can%20Be%20a%20Minefield
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'639115767993233408'	Fox Lake, Ill. officials to provide update on fatal officer shooting, manhunt: http://t.co/Ifs5h3u8vW
'644109382775644160'	....and they are police officers, school administrators, politicians...not some back of the woods weirdos.... #IStandWithAhmed
'639896200519417856'	@a_man_in_black TONE POLICE TONE POLICE
'639020629795184640'	#Police Nhleko finishes his presentation to the Police Portfolio Committee.
'643248834412421120'	Scott Walker blames Obama for attacks on police officers http://t.co/nxHSl4UWl4 via @HuffPostPol
'640057500100894720'	Uttar Pradesh Traffic Police Agra Police #trafficalert #Agrapolice #uppolice #Agratraffic
'640074672340602880'	The New Orleans Police department is investigating a shooting near the intersection of St. Claude Ave. and Montegut St.
'639997771827691520'	Police are on the scene of a shooting in south Louisville http://t.co/DxlF0772U1
'644222481931366400'	CRIME: Authorities in South Lake Tahoe said a woman -- who police said was the driver in a crash that killed one... http://t.co/ig3rbSDqLQ
'639247950963568641'	RT @thehill: Scott Walker ties Obama 'attitude' to police killings: http://t.co/4NjxbbxSn0 http://t.co/3y4QSwHrVR
'640218432185704448'	Warrant issued for man in murder of child . Police say target of the drive by was a man arrested at scene last night.
'640477223133298688'	#SAPSCOMMEMORATION Zuma: We want to use September to highlight attacks against police nationwide #sabcnews
'644527002083528708'	A resident of the area called police to report Tutiven's location, officers said. http://t.co/nJbFSXtlQK
'638814467451691009'	There will be a news conference shortly from Fox Lake, Ill., about the officer shot &amp; killed: Watch it live: http://t.co/TRV7ADZoTh
'647823398895230976'	Camden Metro Police Chief Scott Thomson. #PopeInPhilly http://t.co/eLVXCDLtQE
'638599168852819968'	RT @_jeffwick: Buffalo police searching a car at the scene of a shooting on Hertel and Parkside. http://t.co/iRtG3jwPVq
'638835245798703105'	Video:  Officer shot, killed in Fox Lake, Ill., identified http://t.co/PtTYRMlJXB
'641303042067984384'	Unknown DNA found at site of cop killed in Fox Lake, Ill. http://t.co/fsahmAAMmt
'639275888165543941'	RT @thehill: Scott Walker ties Obama 'attitude' to police killings: http://t.co/EqZj5oSXaN http://t.co/wJ7HXDvX0X
'647049865986461696'	UPDATE: Five people that were in the building in Buckie have been detained by police, officers say the incident is now drawing to a close
'638769083735904256'	Our thoughts are with our colleagues at the Fox Lake (IL) Police Department after the murder of one of their police officers this morning.
----------
With article id: 62821356-38aa-4ed6-90d8-1c32a2e99a8e and link: https://uk.news.yahoo.com/nation-divided-hungarians-loathe-help-refugees-113633239.html
'643703241939767296'	#Migrants In Transit: Escaping #War And #Poverty In #Budapest:  http://t.co/0vGKymyVwz via @GandharaRFE
'641373596376547328'	A top German official said the country is expected to take in as many as 800,000 migrants by the end of 2015: http://t.co/T8Hk1UOnnJ
'638968946113257472'	RT @bouckap: #Keleti station #Budapest, police block access as 1000s of #Syrianrefugees stranded outside, standoff continues. http://t.co/I…
'639227995945893889'	@HulbertMathew @markrusselluk it would be wrong to say all the people on the move in Europe are refugees. And wrong to say all migrants.
'647890509994852358'	President #Kagame: Gacaca, our community courts, has brought restorative justice and reconciliation to a once divided nation #Localgoals
'639200660773318656'	@GrayConnolly that said, i think a civil servant is a civil servant who has to comply with the laws of society as they are not as they wish.
'647868625005715457'	Does #ENGvWAL constitute a mini civil war? #RWC2015
'640099907995574273'	Another march towards the Austrian border has started from Budapest station. A thousand or more#migrants
'642921076922687488'	Corbyn sparks Labour civil war: http://t.co/6i0NcEcX33
'642237440116281344'	RT @nicholsonp: Migrant Mother (1936) and Migrant Mother (2015) #refugeeswelcome http://t.co/N6TMd75Peg
'643673680829149184'	@BBCGaryR @BBCNews I am a migrant, there is no migrant crisis #watchyourlanguage #refugeeswelcome
'639402525184163841'	A nation destroyed (and a civil war ignored) in Syria: How the refugee crisis started. http://t.co/2rVcqs0gKv
'647406459647496195'	KP Oli is Nepal's Donald Trump. What's worse, he is going to lead a divided nation.
'639144195538722816'	THOUSANDS OF HUNGARIANS RALLY AGAINST GOVT MIGRANT STEPS: HIRTV
'640677149020549120'	Migrant crisis: Austria 'to end emergency migrant measures' http://t.co/FUliDt1cIg #WorldNews http://t.co/iRc0VwCYAK
'640592633803374592'	Ordinary Germans and Hungarians greet refugees, provide them with food and water http://t.co/MVBGbmL0KB Video
'645898045331083264'	Hungary: Migrant situation 'extraordinary' http://t.co/r7R5AhsImo
'647958269194076160'	y’all he just elbowed me and pointed at the screen with the JerryDome on it and said “MUST BE A LOTTA WIND IN THAT STADIUM! EH? EH?”
'645899284974473216'	Hungary: Migrant situation 'extraordinary' http://t.co/fQYoYHJmyS
'640106982586884097'	RT @CBCAlerts: Another group of about 1,000 migrants leave #Budapest #Keleti railway station on foot and plan to walk to #Vienna : @Reuters
'640105750019375104'	RT @SkyNewsBreak: Reuters witness reports several hundred migrants have left #Keleti railway station in Budapest and are heading for Vienna…
'641142972214571008'	Germany faces massive anti-migrant vs. pro-migrant standoff http://t.co/5shNPpfwPB #refugeecrisis http://t.co/NywkADfXYI
'639959615661285376'	RT @BBCMatthewPrice: They walked like that from the central station in Budapest. Walked for eight and more hours.
'639552671209275392'	RT @Borys_Kit: Marvel's CIVIL WAR culminated in its own civil war, sources tell THR http://t.co/xrTLgTKvsH http://t.co/TcmKr2UfDj
'640118009047187460'	RT @AP: VIDEO: Thousands of people escaping war and poverty reach dream destinations of Germany and Austria: http://t.co/gbT5PCID9z
'639758303740891136'	Hungarians urge ‘quick solution’ for migrant crisis http://t.co/SnuGcUSQTy
'640133024261259264'	A nation divided: Hungarians loathe and help #refugees http://t.co/zsQQ6P16mf #Hungary #refugeecrisis http://t.co/GfSvvr4mlH
'639043397773340672'	#migrants seek shelter in #budapest station http://t.co/WY5CvpYkqz
'646803119339212800'	RT @TalkingRadical: LISTEN: The fight for access to school for undocumented migrant kids in Montreal: http://t.co/Rr3u4en9Lt http://t.co/Hz…
'640109484266909697'	RT @SkyNewsBreak: Reuters witness reports several hundred migrants have left #Keleti railway station in Budapest and are heading for Vienna…
'643806355950841856'	RT @MediaWatchLFF: It's not a civil war. Syria is a civil war. #Labour
'640089891045511168'	RT @itvnews: Refugees in Budapest board buses bound for Austrian border, Reuters news agency says http://t.co/Pc3uPEhgB5
'640089169713307648'	Hundreds of #refugees arrived at the railway station in #Budapest #Hungary #Europe https://t.co/ET43qHFYI6
'645591778897305600'	@kyeslam @Dena @Darielm @ajplus the civil war
'640254402641678341'	RT @macdonaldrtr: A nation divided - Hungarians loathe and help #refugees http://t.co/p2bcR4iUdw
'647165184927244288'	When it comes to pumpkins, we are a nation divided http://t.co/EXeA2d6YBP
'639010510722232320'	Police reinforce positions by  Budapest station as volume of refugees 'increases by the hour' http://t.co/td3mL9pGpi http://t.co/YjAOEucpGV
'642652862275829761'	@nickeardley The Daily Mail did. And they said the country would be in flames and we would all be dead by this point.
'639757674150785024'	Refugees leave Budapest station on 'walk to Austrian border', Reuters report http://t.co/FDDRM8rtGz
'640448687056023552'	At last a few are beginning to write about (some of the) complexity and the lack of due diligence in coverage of refugees and migrants....
'643704631818891264'	#Migrants In Transit: Escaping #War And #Poverty In Budapest:  http://t.co/KDR0ybraDx
'640145885737955328'	RT @AlertNet: A nation divided: Hungarians loathe and help #refugees http://t.co/zsQQ6PiHdN #Hungary #refugeecrisis http://t.co/B78qGi2lR8
'646268120252973056'	Video: 3 women show the harsh life of undocumented, migrant domestic workers. Do you know people in this situation? https://t.co/jtCdyubaNr
'649014808461869056'	Orono considers library for Civil War statue http://t.co/rUewL1Uy4q
'640300056160047104'	.@RichardDiNatale says a 'rich, prosperous, confident' nation like Australia can help 20,000 more Syrian refugees #australianagenda
'640357265011118085'	A nation divided: Hungarians loathe and help #refugees http://t.co/zsQQ6PiHdN #Hungary #refugeecrisis http://t.co/RN8b2gaCEF
'638974279795777536'	RT @AJENews: Hundreds refugees camp out in continued standoff outside Budapest rail station http://t.co/DezaFXOVOH http://t.co/kwZ2O3QsGC
'645309879624814592'	Austria says it's expecting ten-thousand migrants and refugees to arrive in the country by the end of the day.
'642054253712920576'	@dj_mosfett This is the smartest thing said by either of us. And I constantly try to do that. The truth -- and it's a copout truth -- is...
'644964138498818059'	@Devoptimus there was a Civil War?
'641460306900680704'	When it's all said and done, the Dodgers score 4 times in the sixth to take a 6-1 lead.
'640115812330770433'	RT @AP: VIDEO: Thousands of people escaping war and poverty reach dream destinations of Germany and Austria: http://t.co/gbT5PCID9z
'640726007746592768'	Migrant crisis: Austria 'to end emergency migrant measures' http://t.co/aTj571LBsL
'640876666265423872'	Islamic State takes #Syria state's last oilfield: monitor http://t.co/jkLvfNNUWO via @Reuters
'639748867467161600'	A child from #syria blows soap bubbles in front of #keleti station in #budapest. So many children… https://t.co/8LB9OvmAmc
'640815079173132288'	Delaware’s Civil War split http://t.co/dbJH5PMIBK
'638900470854103040'	RT @bouckap: Escaped horrors of #Syria 4 nightmare in #Budapest, many 1000s will sleep outside in heat as police block station http://t.co/…
'639964128182972416'	RT @BBCMatthewPrice: They walked like that from the central station in Budapest. Walked for eight and more hours.
'645153659790213120'	Civil War! #APCC #apccmanila #AsiaPOPComicon https://t.co/fPsgYivixi
'640252195431034880'	A nation divided - Hungarians loathe and help refugees http://t.co/9kpczY9l0K
'638784920559730688'	RT @bouckap: Escaped horrors of #Syria 4 nightmare in #Budapest, many 1000s will sleep outside in heat as police block station http://t.co/…
'639405555715457024'	RT @ianbremmer: A nation destroyed (and a civil war ignored) in Syria: How the refugee crisis started. http://t.co/2rVcqs0gKv
'639998983650185217'	Austria to let refugees in from Hungary: The Austrian chancellor has said his country and... http://t.co/aRu9OGNKhx #srilanka #GenElecSL
'640867423181238273'	European migrant crisis: Pope Francis to welcome migrant families at Vatican http://t.co/zFVTPvcP4V
'639987116823453696'	RT @BBCMatthewPrice: They walked like that from the central station in Budapest. Walked for eight and more hours.
'641338992407920641'	Labour's civil war? http://t.co/wGAmz9rCzX
----------
With article id: 0b3bea50-3a2c-4d07-953e-45aca9988634 and link: http://citizen.co.za/afp_feed_article/nadal-vows-to-fight-on-despite-us-open-shocker/
'640280526637662208'	#USOPEN2015: Rafael Nadal Loses To Fabio Fognini In Third-round http://t.co/Sn7FiI2Htq http://t.co/SikBO2p9rr
'640037518717624320'	Rafael Nadal cedes two-set lead for first time in shock loss to Fabio Fognini http://t.co/THS4rATpRW
'640033898735362048'	RT @BryanAGraham: Rafael Nadal will finish the season without a Grand Slam title for the first time since 2004.
'640033294046773248'	RT @citizen_kay: IT'S OVER: Fabio Fognini defeats Rafael Nadal 3-6, 4-6, 6-4, 6-3, 6-4. Incredible.
'640092904921395200'	US Open 2015: Rafael Nadal falls to Fabio Fognini in third round http://t.co/AQ3jpAyfPU
'640034094768762881'	Wow Rafal Nadal is out @usopen after losing 5 setter to Italian Fabio Fognini 3-6, 4-6, 6-4, 6-3, 6-4 #tennis #usopen2015
'639670990201458688'	#49ers’ subs end preseason with win over Chargers http://t.co/II7qqMxjUW http://t.co/YXSVvWqlxI
'642827528290336768'	Another win for @WVUFootball! Congrats on your 41-17 victory! #HailWV #WVU
'643152221903785985'	RT @MarkBermanFox26: Jadeveon Clowney with the tackle for loss. #Texans
'646126791317434369'	Well @LeafsGuru93 ....when the Leafs win tonight, it will end a perfect evening for you!
'640575396593844224'	From F1Zone : Hamilton keeps Italian Grand Prix win: Lewis Hamilton has kept his victory at the ... http://t.co/iL8WbJPGt4 #F1LiveStream
'641079130193309697'	End of the thrid.  Hokies need to score 12 points in the scoring end zone to win this.
'645643242520752128'	Juventus end win drought, Totti reaches 300 http://t.co/OQZGp4SFSO http://t.co/NaP0c8AdXb
'638908423040598016'	Ruf Has 6 RBIs, #Phillies Win 14-8 To End 10-Game Skid Vs Mets: http://t.co/TAB0KCbxoV
'640044820745093120'	Rafael Nadal blows two-set lead, falls to rival Fabio Fognini http://t.co/T4mIe3vWX4 http://t.co/JBNVDYdhct
'640033563107155968'	RT @citizen_kay: For the first time in a Grand Slam, Rafael Nadal went up two sets to love and lost. Ladies and gentlemen, Fabio Fognini. #…
'640033629863813120'	RT @BenRothenberg: Fabio Fognini pulls off UNBELIEVABLE comeback, roaring back to beat Nadal 3-6, 4-6, 6-4, 6-3, 6-4. Feels career changing…
'639348154790477824'	Grand spectacle for Victory Dayhttp://t.co/GqLDiwxpXp
'641281887370092544'	Warner: PNM win a victory for ILP http://t.co/atfCcnuWkT
'640056834519248896'	US Open: Rafael Nadal stunned in third-round marathon match by Fabio Fogninihttp://t.co/smj7lhb02j
'640121722008530945'	Rafael Nadal dumped out of US Open 2015 by Fabio Fognini http://t.co/EMG0ypTH0B
'640102970315698176'	Nadal Vows to Fight on despite US Open Shocker #Sports http://t.co/K7Cmpr6RDS
'640382915885424640'	US Open 2015: Battered Rafa Nadal vows to carry on  http://t.co/lbTuj9mJX6
'640066352892411904'	Nadal blows 2-set Slam lead for 1st time, loses to Fognini: For the first time in his career, Rafael Nadal lost a… http://t.co/oJ0zMj95fJ
'640071414477926401'	RT @SkySportsNewsHQ: Rafael Nadal has been knocked out of the US Open, beaten 3-6 4-6 6-4 6-3 6-4 by Italy's Fabio Fognini. #SSNHQ http://t…
'645292164768006148'	What an effort by Japan, brave to the end incredible win
'647932367789756416'	Nationals' playoff hopes end despite win over Phillies http://t.co/eqjKwgcm6V
'640034201329344512'	RT @CindyPoluta: Rafa Nadal is out of the #USOpen beaten by Fabio Fognini. 3-6, 4-6, 6-4, 6-3 and 6-4
'640033416067461121'	2x US Open Champion Rafael Nadal is out of the Grand Slam in New York! Upset by Italian Fabio Fognini
'640033677460672512'	RT @Sports_NDTV: #USOpen2015 Eighth seed Rafael Nadal loses 6-3, 6-4, 4-6, 3-6, 4-6 to 32nd seed Fabio Fognini in 3rd round http://t.co/um1…
'640033372669091840'	RT @EWNsport: #USOpen Rafa Nadal has crashed out of the US Open losing to Fabio Fognini is a dramatic five setter.The Italian wins it 3-6 …
'640454688089894912'	Hear Geoff Toovey talk about the great win over the Sharks here. What a memorable victory to end the season.http://t.co/Ems1rKMdN3
'639910304432943104'	@TheSharkDaymond @USTA_Foundation @charitybuzz    I'm gonna win this. I'm gonna pull a Cuban and swoop in at the end ...
'646297130999676928'	Victory end Adelaide's FFA Cup defence but Archie Thompson injury mars win http://t.co/ogakjzZKd9
'640106992854413312'	Nadal vows to fight on despite US Open shocker http://t.co/nIzuMPCyEz via @paknews
'640103763622039552'	Tennis: Nadal vows to fight on despite US Open shocker http://t.co/kxZNsNXhlj http://t.co/0QDfLW4Qi5
'639351250052628480'	RT @ETribuneSports: Who do you think is likely to win the US Open? Vote now!Nadal vows to stay loyal and honest http://t.co/nJwnbIdl1z htt…
'640072268173848576'	Nadal vows to fight on despite US Open shocker http://t.co/PdQm8Abl3b http://t.co/qNCESZ0DVW
'641075096996704256'	"It was the first thing in the morning, and the last thing at night; till, I confess, it began to be something of a bore to me."
'640041106315476992'	Two-time #USOpen winner Rafael Nadal has fallen in the third round, squandering a two-set lead against Fabio Fognini: http://t.co/aGPEW3neMa
'643694294428069888'	Canberra's Carl Valeri to captain A-League club Melbourne Victory: Can Melbourne Victory win three competition... http://t.co/OeUU1N5RiD
'640280116518522880'	#USOPEN2015: Rafael Nadal Loses To Fabio Fognini In Third-round: World number eight Rafael Nadal is out of the... http://t.co/7Jz0ACF6Ms
'645723898319732736'	Juventus end win drought, Totti reaches 300 http://t.co/Ividwu2ByQ
'640063453063856128'	Rafa Nadal knocked out of US Open http://t.co/QDRi9ecYPS
'640034093347024896'	Fabio Fognini ousts Rafael Nadal in 5-set US Open thriller - @AP_Sports http://t.co/JdwQMFYCfW
'640575386087133184'	Hamilton keeps Italian Grand Prix win: Lewis Hamilton has kept his victory at the Italian Grand ... http://t.co/iL8WbJPGt4 #F1LiveStream
'640033461940695040'	RT @bbctennis: Fabio. Phenomenal.Fognini is the first man to EVER beat Nadal from two sets down in a slam.3-6 4-6 6-4 6-3 6-4. http://t…
'640062413635776512'	Rafael Nadal cedes two-set lead for first time in shock loss to Fabio Fognini http://t.co/yvgvmHUDcY
'640034254127300608'	OOPS! @RafaelNadal OUT OF THE @usopen: 3-6, 4-6, 6-4, 6-3, 6-4 v @fabiofogna Fabio Fognini 3rd round
'645260117080825862'	RT @BroughtonRugby: FULL TIME. Broughton Lads fight to the END AND WIN 24-25. What a game against @ENRFC #ENvBRO
'640047414783574016'	RT @abcgrandstand: Two-time #USOpen winner Rafael Nadal has fallen in the third round, squandering a two-set lead against Fabio Fognini: ht…
'640072163660161024'	US Open: Despite shocker, Nadal vows to fight: NEW YORK, Sept 5 — Defiant Rafael Nadal vowed to fight on and r... http://t.co/IW6hc4kudB
'638570239161167872'	2-time #usopen champion Rafael Nadal began his campaign with a 6-3, 6-2, 4-6, 6-4 win over Borna Coric in the 1st round #SSTennis
'640062419939684352'	Tennis: @RafaelNadal vows to fight on despite shock @usopen exit http://t.co/4g8ucOXMsL http://t.co/GeHKtazQKT
'640032292321169408'	Fognini breaks Nadal again, will serve for the match (Nadal is way past the point of running on fumes) #USOpen2015
'640117076103827456'	Nadal vows to fight on despite US Open shocker http://t.co/KMHpDMtwbV via @paknews
'640033987520503808'	Rafael Nadal loses in 5 sets to Fabio FogniniNadal is now 151-1 in Grand Slam matches in which he wins the first two sets.
'648892803490123777'	Haas was adamant then that he wanted at least one driver who raced in 2015, and not two guys who had been on the sidelines for a year
'649267633594998785'	RT @MarkBermanFox26: Falcons receiver Julio Jones referred to Jadeveon Clowney as a game-wrecker. #Texans
'640033291639386113'	#USOpen Rafa Nadal has crashed out of the US Open losing to Fabio Fognini is a dramatic five setter.The Italian wins it 3-6 4-6 6-4 6-3 6-4
'638572823536107520'	RT @BBCSport: Rafael Nadal beats Borna Coric 6-3 6-2 4-6 6-4 in the first round of the US Open. Promising from the Spaniard.
'641455611704684544'	Djokovic and Feliciano Lopez split sets. The time to beat is 2:26 a.m.: the latest US Open finish in history (a 3-way tie at the moment)
'640038818347749377'	Fabio Fognini knocks Rafael Nadal out of #USOpen in third round http://t.co/OpOiQv9Jwc http://t.co/PGdzj9zNIL
'640033697706717184'	2-Time Champion Rafael Nadal crashed out of the #usopen after a 3-6, 4-6, 6-4, 6-3, 6-4 defeat to Fabio Fognini in their 3rd round match
'640066182825971712'	STUNNED! Rafael Nadal is OUT of the #USOpen after Fabio Fognini won from two sets down. More: http://t.co/u8BDFdhK63 http://t.co/oP49WQuG8P
----------
With article id: 43fcbb87-a47a-45fa-a306-a83324ac9bc9 and link: http://smh.com.au/world/china-claims-panchen-lama-living-a-normal-life-20-years-after-disappearance-20150906-gjgf05.html
'646776145711529985'	The Dalai Lama thinks a female Dalai Lama would have to be ‘very, very attractive’ http://t.co/I0ucgGycSY
'646844029242470400'	Dalai Lama says a female Dalai Lama has to be attractive, or no use http://t.co/xcufKUFIvx http://t.co/4XGpJGj5Bw
'640809918304391169'	Chinese official says missing Panchen Lama 'living a normal life' and 'does not wish to be disturbed' http://t.co/vESR30aeAH
'643708114865287168'	RT @suilee: Dalai Lama says his friends have told him that the Panchen Lama, who disappeared 20 yrs ago, has a family. http://t.co/zlMESIcK…
'640468270240428032'	China: Missing Panchen Lama 'living normal life' http://t.co/i1Tym8a0yN
'640434421326151680'	"The reincarnated child Panchen Lama you mentioned ... does not wish to be disturbed." https://t.co/Diq4SQTqaj
'646784554867404800'	RT @washingtonpost: The Dalai Lama thinks a female Dalai Lama would have to be "very, very attractive" http://t.co/4aoQ2IgYyn
'643500604128686081'	Dalai Lama calls for more research into 20-year disappearance of Panchen Lama | Reuters http://t.co/msm7FVZr5J
'643729043313979393'	RT @suilee: Dalai Lama says his friends have told him that the Panchen Lama, who disappeared 20 yrs ago, has a family. http://t.co/zlMESIcK…
'640399924778045440'	China says missing Panchen Lama is "living a normal life" and does not want to be disturbed http://t.co/pIAaDDDqU6 http://t.co/8N8qRNtCgZ
'643908018946617344'	RT @suilee: Dalai Lama says his friends have told him that the Panchen Lama, who disappeared 20 yrs ago, has a family. http://t.co/zlMESIcK…
'640706076845871107'	Missing Panchen Lama living `normal life': China http://t.co/mIqu8mhfF7
'643604187067097088'	Dalai Lama Calls for More Research Into 20-Year Disappearance of Panchen Lama http://t.co/0dDjhR41Br
'640532413593059328'	China says missing Tibetan, who vanished 2 decades ago, is "living a normal life".http://t.co/yVcd5JsWLb
'640458981538828288'	Tibetan authorities: Identification of the "Panchen Lama" chosen by the #DalaiLama 20 yrs ago, is illegal, invalid; he now lives normal life
'646386836198264832'	Dalai Lama: A Female Dalai Lama Must Be Attractive, 'Otherwise Not Much Use' http://t.co/22LkNalldc
'646954863545425920'	The Dalai Lama has some rather controversial opinions about the possibility of a female Dalai Lama: http://t.co/gklsWpvLeE
'640392415136780288'	RT @ReutersWorld: China says missing Panchen Lama is 'living a normal life' http://t.co/ZTz9yO74uQ
'646767163332820992'	The Dalai Lama thinks a female Dalai Lama would have to be ‘very, very attractive’ http://t.co/O7KGfV30tE
'643708924571455488'	RT @suilee: Dalai Lama says his friends have told him that the Panchen Lama, who disappeared 20 yrs ago, has a family. http://t.co/zlMESIcK…
'647440785349189632'	Judge your success by what you had to give up in order to get it — Dalai Lama XIV #quote
'640428396183429120'	China says Panchen Lama 'living a normal life' 20 years after disappearance http://t.co/Wz5c3zPobD
'643485466256384000'	Dalai Lama calls for more research into 20-year disappearance of Panchen Lama http://t.co/KuaUbmcPSC http://t.co/taGFBssOPW
'645192703379140608'	At The O2 with @thekarmachoden for HH Dalai Lama's talk http://t.co/gbkQkK5j8c
'643708000574705664'	Dalai Lama says his friends have told him that the Panchen Lama, who disappeared 20 yrs ago, has a family. http://t.co/zlMESIcKs4
'640713163961421824'	RT @jwassers: China says Panchen Lama 'living a normal life' 20 years after disappearance http://t.co/1zzYP4HY9x
'647051380365086720'	The Dalai Lama says any future female Dalai Lama "must be very attractive": http://t.co/HoNSTsWTzG http://t.co/Bmz3bq1DaO
'640653560334577664'	RT @george_chen: China says Panchen Lama is 'living a normal life' 20 years after disappearance in Tibet http://t.co/lpHmHf927E http://t.co…
'640401454092517376'	#india #business : China says missing Panchen Lama is "living a normal life": A young Tibetan who vanished two... http://t.co/75Ah9TctDV
'640782608008380416'	Chinese official says missing Panchen Lama 'living a normal life' and 'does not wish to be... http://t.co/MQioIWORXu
'640428860153004032'	China says Panchen Lama 'living a normal life' 20 years after disappearance http://t.co/JLr3V7IJTZ
'648383964613378052'	The Dalai Lama thinks a female Dalai Lama would have to be ‘very, very attractive’ http://t.co/hcnQrdO8mJ
'646779493776928768'	RT @ishaantharoor: The Dalai Lama thinks a female Dalai Lama would have to be ‘very, very attractive’ http://t.co/I0ucgGycSY
'640532414394200064'	China says missing Tibetan, who vanished 2 decades ago, is "living a normal life".http://t.co/uAKD9PTgH2
'640495115513950208'	Inside #China ~&gt; China says Panchen Lama is 'living a normal life' 20 years after disappearance in Tibet http://t.co/MaE4KNyhBb
'640434566629617664'	China says Panchen Lama 'living a normal life' 20 years after disappearance http://t.co/9A9CfsjT3Q
'640497573812285440'	China says Panchen Lama is 'living a normal life' 20 years after disappearance in Tibet http://t.co/bdZr8jtHAf #chinanews #feedly
----------
With article id: f853bd19-8f5b-468d-a261-a2cb9c7407bc and link: http://rss.cnn.com/c/35492/f/676961/s/499d0a3f/sc/7/l/0L0Scnn0N0C20A150C0A90C0A60Cpolitics0Csarah0Epalin0Eabortion0Edown0Esyndrome0Cindex0Bhtml0Deref0Frss0Itopstories/story01.htm
'640545609137569792'	RT @PhilipRucker: Palin on possible role in Trump Cabinet: “I think a lot about Department of Energy. If I were the head of that, I’d get r…
'640556963311390720'	Palin: Down syndrome no reason for abortion http://t.co/Jawgaqk6XS
'640514188113244160'	RT @PhilipRucker: Palin on possible role in Trump Cabinet: “I think a lot about Department of Energy. If I were the head of that, I’d get r…
'641676638275530752'	RT @mashpolitics: Sarah Palin on stage speaking against #irandeal as protester near stage hauled out by police http://t.co/nkqGV6KXyr
'640712075489099777'	Palin said on Sunday that immigrants should “speak American” if they live in the United States. https://t.co/ypAJDwqr3f
'640554062056853505'	Palin: Down syndrome no reason for abortion http://t.co/rJuJmxJhEw
'640647049696935936'	Sarah Palin supports Ohio bill that would ban abortions for Down syndrome http://t.co/iCiwlRcqj1 http://t.co/UBUVTVD8eD
'641150317451579392'	RT @tweetsintheME: Sarah Palin, still completely ignorant. http://t.co/YbPKWBbGK5
'648579822332059648'	@SkippyinZambia I don't think his mind will be able to process this information....
'644313494096056320'	Huckabee schools Jake Tapper. #GOPDebate
'644566547994923008'	@flaper87 &lt;3, hopefully you'll be able to come back
'640856696668192768'	RT @CNNPolitics: .@SarahPalinUSA: Down syndrome is no reason for an abortion http://t.co/sYmld5AIaY #PalinOnCNN http://t.co/f7xlLrGreK
'645370740284506112'	John Kasich says he would sign Ohio's bill to ban abortion in cases of Down syndrome. http://t.co/Iz3rBuB7W7
'640517865033043968'	RT @carlbildt: Sarah Palin has announced that she would like to join a Trump administration in the U.S. Highly reassuring.
'639939004889088000'	RT @HughHewitt Jake Tapper On Interviewing Candidates: Jake Tapper joined me today top discuss t... http://t.co/88fZaSw3MF #KNUS #HEWITT
'643002335053115393'	@TomWRollins i think of it as full  Sarah Palin
'640514454669627393'	RT @PhilipRucker: Palin on possible role in Trump Cabinet: “I think a lot about Department of Energy. If I were the head of that, I’d get r…
'643231227516850176'	Column: Dragging Down syndrome into abortion debate. http://t.co/EZ1aupkVfH
'642673320035549185'	RT @RachelReevesMP: @ResearchScot you don't think I should be able to take maternity leave for my second child?
'644312582799654912'	Jake Tapper … worst traffic cop ever
'641611786706403328'	Matiase: How do you think you’ll be able to mediate in Lesotho when you’re conflicted?
'640786088915677184'	I think that being able to finish a sentence is a prerequisite.. https://t.co/sfSQXHBPR2
'641280085786390528'	I don't think employees will be able to ride their products into work.  https://t.co/0cdG9yTo20
'649203469409210368'	"The Beginning of the End for Trump: His Sarah Palin Moment" by @ariannahuff  http://t.co/rQFFL8uWbn
'644977048390270977'	RT @TomKludt: Trump coverage remains in the HuffPost entertainment section, but Bristol Palin stories are included under politics. http://t…
'644291170491891712'	Jake Tapper just accidentally nuked Iran.
'640859830463397888'	Sarah Palin supports Ohio bill that would ban abortions for Down syndrome http://t.co/1GZWgbErOG http://t.co/d9swtwQ5UY
'640586813736783874'	Sarah Palin on CNN, discussing Denali name change: "We could keep that name McKinley" http://t.co/VstYFW82U7
'640511016862937088'	Sarah Palin is on CNN complaining about Denali. "He wasting his time on THIS when the economy still sucks?"
'640620805689344000'	@RegisMcGuire well, I'm not, and I don't think Coderre has said a Montreal stadium should be publicly-financed 100%
'641997964655886336'	RT @jonfavs: A real masterpiece of the rhetorical genre from Sarah Palin: http://t.co/uAI4NzPLX3
'640508249490485248'	But I don't expect these dumb dumbs to be able to understand that modestly subtle idea.
'644305029898334208'	Yo, Jake Tapper is not playin' around.
'640564057163059200'	@Mick_Nugent Don't think they will now....out of their hands unless they drag this one back
'644348359726075904'	"Jake! Jake! Jake! Jake! Jake! Jake! Jake! Jake! Jake!"  - a smiling Jake Tapper whispers to himself as he falls asleep
'640782834513285121'	.@SarahPalinUSA: Down syndrome is no reason for an abortion http://t.co/sYmld5AIaY #PalinOnCNN http://t.co/f7xlLrGreK
'644431367124598785'	@DoctorPJR Sounds interesting although I'm afraid I don't think I'll be able to get along
'641130956062072832'	@talshalev1 @lrozen @ShemuelMeir so he's not going to be able to watch Palin and Trump address the anti-Iran rally
'640552296330362880'	Palin: Down syndrome no reason for abortion http://t.co/x5UCQBXY5d
