With article id: 0db352b5-25b0-46fc-84a2-2a9845c9b585 and link: http://www.lexisnexis.com/uk/lexispsl/privateclient/document/413991/5GWF-N9G1-DYJH-V1WD-00000-00
'642659857095622656'	@RobHakala finally some relief!
'639132993039298560'	REVEALED: What Nicki Minaj and Miley Cyrus are beefing about http://t.co/w1LFbUV3sx
'648906731217649664'	Miley Cyrus – 10 of the best http://t.co/XoVpRqveSv
'639193468217114624'	Azealia Banks Says Miley Cyrus, Taylor Swift &amp; Nicki Minaj Makes Basic A** Music [PHOTO] http://t.co/h5b70PXWLk
'638703775948099584'	Nicki Minaj takes on Miley Cyrus at the #VMAs: http://t.co/XgwnanonLH http://t.co/2vVa9M3P0G
'641918673003905024'	GRACE JONES on BEYONCÉ, NICKI MINAJ and MILEY CYRUS: 'I have been so copied'. http://t.co/kZ0i3jLAzj #MusicNews http://t.co/SqM09yOgYP
'645870731574833156'	#Nightseeing #EMMYS  @ In-N-Out Burger - Hollywood https://t.co/PGKQK2cmMO
'638684580711522304'	RT @mp3freee: Miley Cyrus - Fweaky
'646032509160026112'	European hotheads http://t.co/rcwptOEUxG
'639713872199421952'	REVEALED: What Nicki Minaj and Miley Cyrus are beefing about | Post-Nigeria http://t.co/zQurKFZiYx http://t.co/s5TC6QjDn0
'641432897346478080'	And Venus. Also a sublime player. She doesn't have the fire of her sister but she is a master.
'639260154936975361'	Miley Cyrus: Cool Mom http://t.co/k8Z9thEvne
'641600298465816576'	The victim says she was at the ATM when a man came up to her with a gun and fired a shot in the air.  No one hurt.
'641919743990099968'	@BeyonceFans GRACE JONES on BEYONCÉ, NICKI MINAJ and MILEY CYRUS: 'I have been so copied'. http://t.co/kZ0i3jLAzj
'639103030470832128'	REVEALED: What Nicki Minaj and Miley Cyrus are beefing about | Post-Nigeria http://t.co/zQurKFZiYx http://t.co/AB8NRcZeD7
'641969888014286849'	Grace Jones says your fave popstars like Miley Cyrus and Beyonce are copying her http://t.co/dY8IKOBD2G http://t.co/2PewPysxeI
'641940120854241281'	@Malabus @Macedonia_en oh really?have U been here recently?It's hard to get by when you don't have a job and the cost of living keeps rising
'638732814893088768'	RT @blackvoices: Nicki Minaj has every right to be pissed at Miley Cyrus - by @CurlyCrayy  http://t.co/NIuG3qgrq3
'639601932210995200'	REVEALED: What Nicki Minaj and Miley Cyrus are beefing about | Post-Nigeria http://t.co/zQurKFZiYx
'643720575895126018'	Also, btw, Miley Cyrus is awesome.
'639742455001260032'	REVEALED: What Nicki Minaj and Miley Cyrus are beefing about | Post-Nigeria http://t.co/zQurKFZiYx http://t.co/FmZ0FYT0ew
'638507787287416832'	No, Miley Cyrus wasn’t “whitesplaining” to Nicki Minaj http://t.co/ay0IzDEqvO http://t.co/kIRAkcPcGw
'639192533340286976'	Azealia Banks Says Miley Cyrus, Taylor Swift &amp; Nicki Minaj Makes Basic A** Music [PHOTO] http://t.co/h5b70PXWLk #newmusic
'641094122799919104'	Austin Trout ready for fight in Hollywood -  http://t.co/En0CDdwStm http://t.co/5XMvqF25FA
'639347533093933056'	Azealia Banks Says Nicki Minaj, Miley Cyrus And Taylor Swift All Make “Basic A$$ Music” http://t.co/yjS7bTkatm
'639788642395947008'	@Pontifex went out of his way to thank and praise all Catholic sisters for their work in the U.S. It is a decisive end to the investigation.
'638554737726648321'	HOLLYWOOD: Bile doth overflow, Sunset &amp; Western, @ a car crash. Now a fight. LAPD enrte.
'638653938087133185'	np: Miley Cyrus &amp; Her Dead Petz
----------
With article id: 4fef4b46-17e6-43a9-b762-f68b20c1d4ef and link: http://www.reuters.com/article/2015/09/10/us-brazil-economy-cenbank-idUSKCN0RA1T420150910
'646169641040117761'	Brazil bans corporations from political donations amid corruption scandal http://t.co/O7OGa5ZOWu http://t.co/opNZrDHVJY
'644805661956669440'	Angolan central bank steps in to stem currency slump http://t.co/oNVwsM72yW
'641963152310145024'	What the Bank of England said on interest rates, wage growth and China http://t.co/EjnZoaJzSf http://t.co/w0YXWJb7p7
'639508855857111040'	Central banks falling short of 2 pct. inflation target http://t.co/I4ZrHvq6Yt
'648638257090166784'	RT @elerianm: Battling dysfunctional rates, credit &amp; currency #markets , central bank of #Brazil announced $3bn of direct &amp; indirect balanc…
'641930330249760768'	Bank of England leaves benchmark rate unchanged at 0.50% as expected
'645947237038751745'	Brazil's taxation without amelioration: http://t.co/nAGVFAq7qO
'647006372849168384'	RT @TradingFloorcom: New #video from @SaxoTV: Fasdal: Brazil on the brink so beware: http://t.co/bEFhJEhfVH http://t.co/Jd6VYn44qv
'639805800240807936'	Today's market drivers: Hilsenrath (Jobless Rate Decline Strengthens Case for Rate Hike) vs Goldman (no Sept rate hike)
'644071750343393280'	Central bank leaves benchmark interest rate unchanged http://t.co/y5c3zlVnB1
'641837515511459840'	Bank of Canada keeps benchmark interest rate steady at 0.5%More: http://t.co/9dF7X2kcWS http://t.co/TRb3TuXFcR
'643738803903922176'	Bcch rate changes unlikely till H1 2016 in Chile: On several occasions, the central bank has confirmed... http://t.co/Qe4c3aLPpL
'646972576682500096'	Taiwan Central Bank cuts interest rate to 1.75% from 1.875%.
'641637740522668032'	@3c5x9 Rate! ;-)
'644427603915313153'	#india #business : Swiss central bank leaves interest rates unchanged: SNB left its interest rate unchanged an... http://t.co/ECDANrP4hy
'646316198326460416'	NIGERIAN CENTRAL BANK LEAVES INTEREST RATE UNCHANGED AT 13.00%
'646280010198818816'	BREAKING — Turkey's Central Bank keeps benchmark interest rate steady at 7.5 percenthttp://t.co/ZqKa5sEP6K #CBRT http://t.co/6fpPH3v4eF
'643460953993007104'	@RobinWigg FIXED: Rate hike, not rate cut http://t.co/IaKEdB7SWz
'644109701450371072'	The Central Bank in Donetsk With No Currency, No Interest Rates, But ATMs http://t.co/MjSC74KHUz
'644045462308196356'	#BREAKING: #Thai central bank keeps policy rate unchanged at 1.50 percent, as expected, @Reuters reports $THB
'642140558413033472'	#SouthKorea central bank keeps interest rate unchanged at a record low of 1.5 percent. #economy #interestrates  https://t.co/3YiMNrS4mt
'648073343606878208'	Brazil has cut 500,000 jobs since January. Another 2.5m will be shed before the end of 2016 http://t.co/cC7CSAJ9av http://t.co/CM7ctwtGQ9
'641997445937930240'	"The last time the Federal Reserve raised its benchmark interest rate, there was no one to tweet about it" http://t.co/Wo5ydWBSlY heavy
'644448935008866305'	Indonesia central bank holds rates as rupiah, inflation a risk: The benchmark rate was kept at 7.50 per cent, ... http://t.co/JmldCQsAXi
'639232369057140737'	Brazil's central bank keeps key interest rate at 14.25% http://t.co/a0GBBftyky http://t.co/lmjtWIZG3V
'648867385223589889'	Brazil Currency Volatility Climbs as Central Bank Adds Support http://t.co/GmQDEi0G8e via @business
'645772285434032130'	Heart rate 140+....
'639340127425310720'	Sweden's central bank left it's key interest rate unchanged at -0.35 percent.
'639054864182603776'	TSYs: rate hikeStocks: rate hike delayed
'648637999865991168'	Battling dysfunctional rates, credit &amp; currency #markets , central bank of #Brazil announced $3bn of direct &amp; indirect balance sheet support
'641612979184623616'	The Bank of Canada will keep its key interest rate unchanged, at 0.5%
'645633620531654656'	RT @scharlab: ➍ Brazil's political crisis explained—but even if you get it, there are further complicating matters. http://t.co/aCKdtDZPJq …
'643789671240179712'	.@owenfuller gives us some quiz stats: 82% click to conversion rate78% completion rate14% lead conversation rate #SMWLDN
'641948227466600448'	Serbian central bank cuts reference rate to five percenthttp://t.co/CCRlDhLgsy
'641938181403885568'	The neutral rate of interest is whatever it has been for the last few years.
'647562873443643392'	Why Brazil Is Not Coming Back Anytime Soon (In 1 Depressing Chart) http://t.co/TUJj95jzNY
'641930135155941376'	The Bank of England has kept UK interest rates on hold at 0.5% today - as expected. http://t.co/IwVgGfGoMB
'642001865090199552'	Consensus forecast: Russian Central Bank not to rescue ruble by raising key rate http://t.co/CbhunTQWzn
'643474743945883648'	Bank of Ghana increases policy rate to 25 percent: The Monetary Policy Committee of the Bank of Ghana has incr... http://t.co/kAEulcqgEv
'647364169075847168'	RT @JPSpinetto: #Brazil Market Respite Seen Short Lived http://t.co/RiBydy0VOG via @business http://t.co/R3NM7GlMRB
'647156113222275072'	@BTabrum wouldnt call the all-clear just yet...there potentially remains a lot of bad news in the pipeline out of Brazil
'641216748184838144'	* China central Bank: more companies will suffer currency losses due to increased Yuan volatility - RTRS
'647108606911979520'	Russia's central bank says its medium-term inflation target remains "feasible", despite ruble depreciation http://t.co/2dhTdM7kK5
'644885204176273408'	RT @WorkOneWorks: IN August unemployment rate declined 0.1% to 4.6%. Lowest rate since August of 2007. Nat’l rate at 5.1%
'647341617108660224'	Brazil Respite Seen Short Lived With Momentum Going Against Real http://t.co/tz0A79dUEb
'642288368907251712'	Russian central bank holds interest rate at 11 percent http://t.co/OcaRAhvFGk
'644170175504359424'	@jessicaschulb Alumnni giving rate.
'644035680365072384'	Won't rate it
'639511450289991680'	Central banks falling short of 2 pct. inflation target http://t.co/PTND7m7ato
'641930280471764993'	Bank of England keeps base rate of interest at record low of 0.5%
'641930955972837376'	Bank Of England: Leaves Bank Rate Unchanged At 0.5%  @bankofengland
'640654441088196608'	Brazil eyes Paralympic big time in 2016 http://t.co/TQolh4ot8C
'647567246378827776'	RT @PhilKeoghan: RT if you would choose #Sand @RiodeJaneiro @Brazil
'645875250148831232'	How Nigerians rate the country's public education system: 45% rate 'good', 35% rate 'poor' - http://t.co/HDdz8yEknG http://t.co/Zal75IYiYJ
'640824110759591936'	Brazil eyes Paralympic big time in 2016 http://t.co/Cs4ydKJEAS
----------
With article id: ea0a2276-afdb-4cd0-bdff-a02df7eec11c and link: http://m.hindustantimes.com/world-news/50-spies-say-isis-intelligence-report-by-us-cooked-up-report/article1-1389200.aspx
'641920308631482369'	'50 US intelligence analysts accuse their masters of manipulating reports' in order to understate the ISIS threat http://t.co/7kGdowZP56
'642019746267951104'	Exclusive: 50 Spies Say ISIS Intelligence Was Cooked - The Daily Beast  http://t.co/x98kMO6j5O
'644158228373348352'	Faulty intelligence, you say? http://t.co/18h0lbn5XU
'646288727967313920'	DTN Iraq: German intelligence 'concerned' Islamists recruiting refugees: German intelligence warned Tuesday th... http://t.co/pqcGAgmawk
'641954038234398720'	50 spies say ISIS intelligence report by US cooked up: Report http://t.co/k5463oMVvp http://t.co/Po4p3JbRlc
'647649578741686272'	US-trained #Syria rebels gave ammo, equipment to Al Qaeda group, Pentagon confirms http://t.co/e2JpvQgjjz
'638818429168828416'	@pauljguidry intelligence, analytics
'641972101646319616'	RT @DRUDGE_REPORT: DAILY BEAST: Spies Say ISIS Intelligence Was Cooked... http://t.co/nQWNfP2rQc
'643858241131257857'	@shokufeyesib No I meant the Al Qaeda
'644209626351726593'	RT @GlobalPost: The US military may be fabricating intelligence reports about its war with the Islamic State http://t.co/RjqJjEdG5x http://…
'644141757219930112'	RT @petergelling: The US military may be fabricating intelligence reports about its war with the Islamic State http://t.co/NEyNdxosnM http:…
'639440275119673344'	The U.S. hoped indicting 5 Chinese hackers would deter Beijing’s cyberwarriors. It hasn’t worked. @EliasGroll reports http://t.co/q6wPHqx2Aw
'642329400290242560'	FT suggests we're moving from artificial intelligence to reptile intelligence. Amazing manufacturing revolution: http://t.co/ZnkUawf3KV
'641821261430173697'	Report: Intelligence analysts allege that command is changing ISIS reports to show US is winning http://t.co/8SAFZdf1sU
'641972020335525888'	RT @DRUDGE_REPORT: DAILY BEAST: Spies Say ISIS Intelligence Was Cooked... http://t.co/nQWNfP2rQc
'641795753480839168'	Al Qaeda calls Islamic State illegitimate but suggests cooperation: http://t.co/2O6HoiKEdo http://t.co/xcgd8N7i5G
'641874121782108160'	RT @iraqhurr_eng: Al-Qaeda Leader Questions Islamic State But Suggests Cooperation: Al-Qaeda leader Ayman al-Zawahiri dismissed ... http://…
'639585416597868545'	The U.S. hoped indicting 5 Chinese hackers would deter Beijing’s cyberwarriors. It hasn’t worked. @EliasGroll reports http://t.co/39cZQ4CviA
'641611008834977793'	Al Qaeda chief rejects Islamic State as illegitimate in audio tape http://t.co/5s1lJ5QhRN
'646361515260555264'	RT @billroggio: Despite Attention to Islamic State, Al Qaeda May Be Bigger Threat - my colleague @DaveedGR gets it - http://t.co/vR3h9rAA6g
'641807625399590913'	50 Spies Say ISIS Intelligence Was Cooked http://t.co/HBzVxcfiMH
'641724176575930368'	RT @etribune: Al Qaeda chief calls Islamic State illegitimate, but suggests cooperation to fight the West http://t.co/ONjUm9l0Gz http://t.c…
'639276936867545088'	RT @ForeignPolicy: The U.S. hoped indicting 5 Chinese hackers would deter Beijing’s cyberwarriors. It hasn’t worked. @EliasGroll reports ht…
'641862731038113792'	Massive: "50 Spies Say ISIS Intelligence Was Cooked". https://t.co/113anfslRe
'641866551063392257'	RT @latikambourke: Massive: "50 Spies Say ISIS Intelligence Was Cooked". https://t.co/113anfslRe
'648916327592144898'	Obama Calls For Coordinated Global Fight Against Islamic State: President Barack Obama has called for a renewe... http://t.co/YGyTGg1AxC
'641898169807282177'	Exclusive: 50 Spies Say ISIS Intelligence Was Cooked http://t.co/dmyf1O38rH
'641888264987643906'	'US intelligence reports on IS rewritten' http://t.co/nX4mtVW8BA
'641774928539320322'	US Puts Algerian Al-Qaeda Figure on Terror Blacklist http://t.co/cuOBNkmoxT #al-qaeda http://t.co/HHaVQHrcvr
'639039932640690176'	Former CIA Chief: Al-Qaeda Fighters Could Tackle IS http://t.co/32T4IJWrX4 #al-qaeda http://t.co/v5WYEdKahV
'644144988985540610'	The US military may be fabricating intelligence reports about its war with the Islamic State http://t.co/RjqJjEdG5x http://t.co/ujhfmyVTlf
'642352482694246401'	RT @jamiewrit: Exclusive: 50 Spies Say ISIS Intelligence Was Cooked http://t.co/upUxKewJA6 via @thedailybeast
'641908916151021568'	Report: Intelligence analysts allege that command is changing ISIS reports to show US is winning http://t.co/s3UltKm6bl
'641743665463844864'	"Senior Intelligence Officials Said" http://t.co/9h4QDvIRy3
'642091237441466368'	Globally, the US Air Force airborne ISR (intelligence, surveillance, reconnaissance) assets make 4,000 sorties a month - #intelligence2015.
'646856471599296513'	Pentagon seeks to put to rest rumors of al Qaeda defection for #Syria trainees http://t.co/FclVWc6KCs
'643019246797238276'	Al Qaeda Rejects Islamic State In Attack Call http://t.co/fUq0cUT0MD
'638678820619448320'	Drones and Intelligence Blunders - September 1, 2015 Drones cover intelligence blunders David Ignatius... http://t.co/Y3COJ9AfxN
'641874010217672704'	Al-Qaeda Leader Questions Islamic State But Suggests Cooperation: Al-Qaeda leader Ayman al-Zawahiri dismissed ... http://t.co/oRvSYWbIu9
'642461875419127808'	Exclusive: 50 Spies Say ISIS Intelligence Was Cooked http://t.co/gVQ2CT6k6a via @thedailybeast
'642016390380064768'	US intelligence analysts revolt over rosy IS assessments, Daily Beast reports: WASHINGTON, Sept 10 — More than... http://t.co/B13NbuQGL4
'641784912526184448'	Al Qaeda Calls Islamic State Illegitimate But Suggests Cooperation http://t.co/WY3vrAPAj2 #al-qaeda http://t.co/4GvKGPolPZ
'641920210862256128'	50 Spies Say #ISIS Intelligence Was Cooked http://t.co/rBinSbxrxK by @shaneharris
'644726565675249664'	Intelligence official: Not our job to warn of hacking: A top national intelligence official says the intelligence… http://t.co/dA93fDF5yR
'646022957752451072'	@joshdickson40 assume intelligence is exactly it
'647610720239120384'	US-trained militants surrender arms to al-Qaeda affiliate in Syria: Pentagon http://t.co/1lzysJmu8c #SyriaCrisis http://t.co/MFWOMGVTlF
'641960213050818561'	Report: US Intelligence on Islamic State Was Recast as Rosy http://t.co/Dpf3GLINO6 #isis http://t.co/E6HDlXClph
'639231927686447104'	The U.S. hoped indicting 5 Chinese hackers would deter Beijing’s cyberwarriors. It hasn’t worked. @EliasGroll reports http://t.co/AMcFVGcKQv
'647642474094178304'	US might as well just arm Al Qaeda directly: Pentagon confirms US-trained #Syria rebels gave weapons to al-Nusra  https://t.co/0L1JMf1c2g
'644929906086801408'	Al Qaeda &amp; Al Qaeda in Iraq split over uses of violence in Iraq war http://t.co/GBNANox5jV
'642353398008823808'	@stephendoss Blast. Intelligence. Damn that confounding thing.
'643704454282276865'	The Islamic State kills people with beheadings &amp; other brutal punishments. The US leads a bombing campaign against the Islamic State but
'648572229408571393'	RT @Oneindia: No room for 'apolcalyptic cult' like ISIS, al-Qaeda: Barack Obama  http://t.co/gGLJMyobLz #UsPresident
'641809656080375808'	RT @beccaglover: Exclusive: 50 Spies Say ISIS Intelligence Was Cooked http://t.co/qMNhgC62Wy via @thedailybeast
'642760519988871169'	Complaints of manipulated ISIS intelligence: A top U.S. intelligence official confirmed that the Pentagon's in... http://t.co/qidNeDLRro
'641138811703918592'	@Phillip_In_HK proof of intelligence
'644390339369824256'	The US military may be fabricating intelligence reports about its war with the Islamic State http://t.co/RjqJjEdG5x http://t.co/92727MV5L0
'638661258825199616'	Don't  support  al-Qaeda  http://t.co/XEOqAssVbf
'642014943999606784'	Al Qaeda has never operated in Afghanistan, former President Hamid Karzai says http://t.co/QHTY0EzsFg | AP Photo http://t.co/NUXoX4Be9U
'641848068850196480'	RT @i_intelligence: Exclusive: 50 Spies Say ISIS Intelligence Was Cooked http://t.co/YRLVNAEFx9
'641781700306038788'	I mean that's *50* intelligence analysts saying higher-ups cooked the books on the Islamic State. That would be *systematic*.
'642365747214221312'	A #US drone strike killed at least 15 Pakistani #Taliban militants in #Afghanistan’s Gomal district on Wednesday, intelligence officials
'641875681421447168'	Dozens of intelligence analysts reportedly claim their reports on ISIS in Syria were altered at CENTCOM http://t.co/diAxCoqqAD
----------
With article id: b43c7d5a-b486-415b-9d98-d9a9f62dff2c and link: http://www.financialexpress.com/article/travel/market-travel/bespoke-luxury-experiences-for-indian-fans-at-english-premier-league/133682/
'648657216640319488'	MT @HPSoftwareALM: [event] #HP's 3rd Annual #UX Conference. via @MalcolmIsaacs #ui http://t.co/pmMa1xh0AB http://t.co/HgCDzvGUQC
'641771705237680128'	@jeffhauser Constitution doesn't include blue slip ... it does however include Senate
'642047528825810944'	Match Officials for First Capital Plus Premier League Match day 30: The 2014/15 First Capital Plus Premier Lea... http://t.co/CQaURLEVKb
'641979993984225280'	.@imVkohli is now co-owner of UAE Royals franchise in Indian Premier Tennis League, Ravi Shastri will be advisor...
'643421672960229377'	CNBC-TV18 Exclusive DIPP Secy To CNBC-TV18: New Parameters To Include SMEs, Start-ups #EaseOfDoingBiz
'642215642486013952'	'Rich people from #India fly to UK or US to get treated, &amp; a vast majority doesn't have any access to #healthcare ' http://t.co/SWFsK4jsz3
'646294860840857600'	So pleased to have @uxuimarco back. Good example of his design thinking here: https://t.co/EncDBb6UcW #ui #ux #design
'641891460737048576'	Watch everything the manager has to say as part of our Premier League Preview Show from 1.30pm BST tomorrow: http://t.co/GY1pTRKVZ7 #LFC
'638710648638038017'	Virgil van Dijk has completed his transfer from Celtic to English Premier League side Southampton. http://t.co/sFngVxO0TF
'644876331260358661'	RT @erinscafe: Hey UK friends: If you're taking a 9-year-old to his first English Premier League match, which stadium do you take him to?
'643836019389825024'	@steveoleolson We're working to include the WMP. In the meantime our player on http://t.co/Um0hxWxtSp should give a good experience. Thanks!
'640130937926225921'	Match Officials for First Capital Plus Premier League Matchday 29: The First Capital Plus Premier League enter... http://t.co/8Rz5OhrS4L
'642733314340716545'	Chelsea have the worst goal difference in the Premier League.
'642264361629716482'	Foreign #students are hugely welcome in #UK especially those from #India: @sajidjavid @UKIBC #IUKBC2015 #UKIndia #SajidInIndia
'642207398099156992'	RT @CNBCTV18News: Coming up at 11 am on CNBC-TV18 @ShereenBhan in conversation with panelists at UK India Business Convention http://t.co/d…
'641908920441786368'	#WhatTheyFoundInMaropengA Steven Gerrard Premier League Winners Medal
'643431162761900032'	From the Premier League to Myanmar  in five years, that is one hell of a ride for Caleb Folan
'642036201713590272'	RT @Article50: @UKinIndia @CBItweets @UKTradeMinister Long may relationship continue with UK's good friend India.
'639863273152606212'	Preview: Premier League relegation battle enters the final straight: The First Capital Plus Premier League ret... http://t.co/rNFCA5vQSn
'647762770956566528'	ENGLISH PREMIER LEAGUE:Team news:  Anthony Martial makes his first Old Trafford start in the Premier League,... http://t.co/vclcRKW7Ez
'646609828861755393'	#HongKong losing the edge to #Singapore, says English Premier League boss Richard #Scudamore:http://t.co/EbHtJsT2UH @SCMP_News
'642708610640936960'	3rd Premier League goal in 52 Premier League games @DangerZonePod .Hmmmm.
'647054591381667840'	ESPN will have exclusive rights to English Premier League football in Brazil from next season. Had been sharing with Fox.
'642107231949860865'	@MargaretKrohn does that include you?
'641921918816223232'	RT @RamiRanger: @UKinIndia @UKTradeMinister @iitbombay @indiaedudiary @DHCKumarIyer @DelcamAMS @sheffielduni UK India partnership is based …
'639725756021653504'	@moodewji Does that include Tanzanians?
'647200140374245377'	RT @getflipp: Q1.Where and when do you start your shopping experience?  #FlippLaunch
'646495319824297984'	LeTV leaves Hong Kong fans confused over how to watch English Premier League games next season :http://t.co/k6ES9Ahzmd @SCMP_News
'642282026968719360'	RT @CNBCTV18News: Tune in to CNBC-TV18. Coming up at 4 pm: Highlights from UK India Business Convention #IUKBC2015 http://t.co/NJWoSlRcTp
'643746578486947840'	FANTASY PREMIER LEAGUE: @dimpayet17 starred in Gameweek 5! Latest news and Fans' League at http://t.co/VFe2IrvqmM http://t.co/6kDnwBHzsO
'641959015250042880'	RT @TransferBibIe: The Premier League returns this weekend... http://t.co/mF5DxJPmem
'641984444245610496'	IPTL is International Premier Tennis League. Sorry for the slip up
'644043058250539008'	FANTASY PREMIER LEAGUE: @dimpayet17 starred in Gameweek 5! Latest news and Fans' League at http://t.co/VFe2IrdOYc http://t.co/WhAQvPBgxy
'643237499909705728'	Benoit Assou-Ekotto slams Premier League badge-kissers as big fakes: Benoit Assou-Ekotto slams Premier League… http://t.co/lVgxUczqiF
'642202586334957568'	The value of joint #UK-#India #research projects has grown from £1m in 2008 to over £150m today: @UKTradeMinister @research_uk @NewtonFund
'643747867954442240'	Asmir says there is a long way to go in the Premier League but for now they are focussing on the Champions League and are motivated. #CFC
'649312932329844736'	@andpru yeah I'm super curious about this. Have a neuroscience background but also forever interested in UX/UI
'648967545760952320'	I hear a collection of pathetic teams in Champions League is called the PREMIER LEAGUE.
'643786401926938630'	The How and Why Behind Trello’s Visual Brand Guide - http://t.co/C57osq5rGL #design #ux #ui http://t.co/iZWIHM8Xet
'638962677407199232'	Here are all the done deals from English Premier League transfer deadline day http://t.co/Ozv2VBqp2c http://t.co/ieFNHPJnL5
'644833975123451904'	@Eljarh Does deal include GNC?
'642341569434099713'	The English Premier League is back in full force this weekend. Man United vs Liverpool the big one to look out for: http://t.co/bBENz44ext
'642372019024199680'	RT @GoonerJaga: Premier League returns
'648992021210923008'	MT @HPSoftwareALM: [event details] #HP's 3rd Annual #UX Conference. via @MalcolmIsaacs #ui http://t.co/pmMa1xh0AB http://t.co/HgCDzvGUQC
'644633563908845568'	@astronomolly @astrokiwi @reneehlozek @dstndstn @astrobetter Maybe include info about acceptable range of start dates?
'648273669555417089'	@dangillmor similar UI, UX and the way that encourages you to use it like Twitter
'641206516175933440'	Superstition: English Premier League stars consult witch doctors: Premier League stars are handing over fortun... http://t.co/000fp1U9t3
'641953958668468224'	Premier League clubs are making progress over prayer rooms for fans http://t.co/K9UYdjxfBd
'638614680727089152'	Upgrade your workflow with the Pay-What-You-Want UX to UI Designer Toolbox http://t.co/FuvL5RUz8I
'642203086182723584'	RT @DHCScottFW: #IUKBC2015 @UKTradeMinister: more #UK #India innovation means an ever more unbeatable combination for sustainable &amp; secure …
'639863986872168448'	Preview: Premier League relegation battle enters the final straight: The First Capital Plus Premier League ret... http://t.co/Yh5130xLUs
'643745760790609921'	FANTASY PREMIER LEAGUE: @dimpayet17 starred in Gameweek 5! Latest news and Fans' League at http://t.co/DtyePOuamZ http://t.co/hXcc3AziKD
'639894836095676417'	@mtyala premier league slate in action
'641912950442360833'	The Premier League returns: 10 players set to make debuts this weekend | Paul Wilson http://t.co/C985VwDIUF
'644545262048776192'	@AutryJohn Tour include biscuits?
'647755723913437184'	RT @AO_Sports: Goaaal for #Tottenham v #ManchesterCity (English Premier League) http://t.co/ljEAoSBo5v #epl
'648407236541218817'	@sphererer @yazbanz @madibotak @SazaliAbdulAziz Yeah guys, we're winning the North East English Premier League! Woo hoo!
'645908038264578048'	LeTV has bought the broadcast rights for the English Premier League, which has frustrated local viewers. But... http://t.co/ozoZvp9P8c
'638895879169163264'	Transfer spending in the Premier League has reached £1billion in a calendar year for the first time. http://t.co/KV3mmyNoTm
'641871481803276288'	RT @Joshua_M_Sport: @Arsenal @6_LKOSCIELNY The best defender in the Premier League without a doubt. #HappyBirthdayLaurent
'639423467436265472'	UI, UX: Who Does What? A Designer's Guide To The Tech Industry |  http://t.co/m78XuDFAPF
'644851954821267456'	AP: Last year, the finish we had was remarkable. From the bottom of the league to 10th, under those circumstances.
'645589037256802304'	RT @JamesPorteous: Me &gt; Is LeTV's US$400m capture of English Premier League rights good news for Hong Kong fans?  http://t.co/8RsOtLSZZh @S…
'641087497766703104'	September 12, 2015: 9-17.30h - Coders4Africa (@Coders4africa) UX UI Graphic Design Competition, ICEADDIS... http://t.co/WjoSPRSV3W
'644008277878005761'	.@mbdpublishers to deliver training to #teachers in #India with @imagine04 #UK http://t.co/wcO0ClQtP3 (via @TheDailyPioneer)
'645553045854547968'	Me &gt; Is LeTV's US$400m capture of English Premier League rights good news for Hong Kong fans?  http://t.co/8RsOtLSZZh @SCMP_News
'644026627467309056'	Looking to hire a senior ui/ux resource at igenero. Write to me on a@igenero.com
'643746460555722752'	FANTASY PREMIER LEAGUE: @dimpayet17 starred in Gameweek 5! Latest news and Fans' League at http://t.co/VFe2IrvqmM
'641941935184195585'	RT @ThePPLShow: ICYMI: This week's ep of Proper Premier League featuring celeb #LFC fan @doctorkk from Neighbours! https://t.co/HdaHc0M9mx …
'640131829215813633'	Match Officials for First Capital Plus Premier League Matchday 29: The First Capital Plus Premier League enter... http://t.co/JYdoR0w8Mm
'642351828315668480'	#UK believes in #India. We want deeper, wider, stronger with #India: @sajidjavid #UKIndia #SajidInIndia @bisgovuk
'640636355488301056'	Match Officials for First Capital Plus Premier League Matchday 29: The First Capital Plus Premier League enter... http://t.co/HM3ZjG9ZmB
'648213671861223425'	@jlcidell Great way to start the day. Thanks for sharing your photo &amp; experience.  ^BW
----------
With article id: 62e1db0d-c532-4fae-be44-5c7a5598fe9f and link: http://www.businessinsider.com/r-british-legislators-overwhelmingly-reject-right-to-die-law-2015-9
'643171359665745920'	Right to Life campaigners want NZ MPs to note the vote in the British House of Commons where an assisted dying bill has been defeated
'642365491999338496'	And at @channel5_tv at 5pm: The right to die is rejected as MPs overwhelmingly vote to defeat a change in the law http://t.co/dXZhWsi37a
'642259292012195840'	I'm terminally ill, but I still don't want assisted dying in Britain http://t.co/Dx1ta22nbh
'638792948197498880'	This is BIG, people. https://t.co/jIMH9qP6Z9
'645614180142346240'	#London, if you want to harness your sexual connection to support your professional goals, this program is for you: http://t.co/uwTo0O9qEr
'642494836575195136'	Calif. lawmakers pass bill to allow terminally ill patients to end their lives, but governor's approval uncertain: http://t.co/IfT9hYvc1H
'646109066461364224'	@em_ess right. people are people.
'644257198772645888'	THIS LIFE; SMART PHONES STUPID PEOPLE.
'640678594403041280'	As religious leaders speak out against the Assisted Dying bill, is it time to let the terminally ill have some dignity in death? @darrenadam
'640196976370413569'	RT @phil_galligan: 21 people watching 200 people watching 80000 people watching 30 people #Periscope #NTLounge for the #DubvMay game. https…
'641531440643964928'	people are people https://t.co/YVLw7aYVFj
'642001342643351552'	This is where people will live. People will work. People will play. http://t.co/Kw8AgGrMZb
'648545076730286081'	@gabebergado …do normal people not do this
'643766941228867584'	Terminally ill man throws 'goodbye party' for himself http://t.co/p44fYJP7Yy
