With article id: 4a8f4814-0fd9-4ab0-8c4c-c873b56269ff and link: https://www.newshub.org/rex-ryan-sends-message-names-four-former-dolphins-captains-18683208.html
'641026387231404032'	RT @Liz_Mathews: Russell Wilson, Bobby Wagner and Jon Ryan selected as team captains.  #Seahawks
'647572635723911168'	Rare 'supermoon' total lunar eclipse on 9/27 will be your last chance to see a total eclipse of the Moon until 2018 http://t.co/N90KSqO7Lv
'648301413748068352'	For the first time in more than 30 years: you’ll be able to witness a supermoon in combination with a lunar eclipse.http://t.co/LPAjQYDNkx
'648310309183090688'	RT @projectchase360: LIVE on #Periscope: Supermoon Eclipse: Clear Skies in Nebraska https://t.co/XnJ0G4GlPV
'648062611343302656'	10 things to know about the supermoon lunar eclipse: On Sunday night, a total supermoon lunar eclipse, also kn... http://t.co/rAAyIiktce
'648310247615037440'	Blood moon describes a lunar eclipse so you can't see it before the eclipse. #moonfacts
'648402598152699904'	Kelly has been sharing beautiful pictures of different parts of the Earth from spacehttp://t.co/WIjoZC1e05 http://t.co/EN54gqKqPg
'648599817141264385'	Great Lunar Eclipse Roundup.... http://t.co/EMNNxItCuW
'648353287415201792'	RT @PIXweather: And that's it folks! The super lunar eclipse has ended. The next total eclipse of a "supermoon" is in 2033. @CraigAllenWx @…
----------
With article id: c1c5dee9-77a1-494b-820d-88bbe24fb733 and link: http://news.list-online.com/tokyo-film-festival-to-focus-on-homegrown-movies-yahoo-news/
'647394391846318081'	NYFF: Ten Movies to look forward to at the 2015 New York Film Festival - http://t.co/7wKqu2yb2w http://t.co/Pt9h1FcEEH
'649063839028391936'	@programmerAnna what film???
'643879113833320448'	@GameDesignDan What film?
'648979324163330048'	Milwaukee Film Festival - Former federal agent turns filmmaker to explore homelessness in Milwaukee http://t.co/JPz04bVkWk
'647762590991446016'	@RealGDT @FredKiesche Outstanding film.
'641920398788030464'	Syrian Film Cherry Messages wins award of the best film in #Alexandria Film Festival http://t.co/M8MEFpUkGB
'638996553366044672'	Zurich Film Festival: Christoph Waltz to Head Filmmaker Award Jury http://t.co/8BSZwzoLyH
'646750577813258240'	RT @RadfordRdCops: Please be aware of #GooseFair parking restrictions around the #forestrec some starting from tomorrow,there will also be …
'648894532029800448'	The Ten Commandments monument to be removed from Capitol grounds by October 12 http://t.co/NQe6HbY7Ig via @RickRmgreen
'642163225325400065'	RT @PeterZimm: .@JustinKaufmann talking with filmmaker Joe Swanberg about Chicago and his latest film, "Digging for Fire." @MrJakeJohnson @…
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'642106810669772800'	Algonquin filmmaker to premier short film at TIFF opening night - APTN National News http://t.co/7obGP7RW0W
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'644771894391144448'	The 10 best films to book at London Film Festival: http://t.co/KR2Q4ZldOv http://t.co/sDVJ5NJ5I2
'642112585421168641'	Toronto International Film Festival showing film shot in #NewLondon by #Wallingford filmmaker http://t.co/6hpFw44aUd http://t.co/aPxYOZm0El
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'640957346173227008'	Rabin film won't end conspiracies theories but it does highlight hate campaign, filmmaker… http://t.co/ZR9NAbpHG0 http://t.co/ujxeicWaSr
'648397389640953856'	@MhairiMcF That film. That film.
'644216254715297793'	The 5 Most-Anticipated Films Premiering at the Toronto Film Festival! http://t.co/B8lIdXDERM
'644562159888785408'	Check Out These New, Standout Gay Films from the Toronto International Film Festival  #TIFF http://t.co/xKQxylabqT http://t.co/r05r5zGciI
'647715249211224064'	Why do we pay more attention to negative news than to positive news? http://t.co/wUgmIjqBgv
'642909188566335488'	Pay Attention to the "Emergency" Kanji - Savvy Tokyo http://t.co/OAHJoIUI56
'641660076386709505'	@mel_huang I don't pay attention to Navalny.
'645113824660582400'	@MichaelPetrelis No. I haven’t been to the movies in ages and rarely see foreign films. The only film I have heard of is the Cuban film.
'648341124185112577'	Japanese filmmaker to direct a film in Nepal - Kathmandu Post http://t.co/HQl35vqey0
'644605224880095232'	Can someone start a film festival for films that are pulled from other festivals due to legal disputes?
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'642354442680049665'	@khaleenchi_u2 cont1.. the report from the payment centers. You may also retrieve your itinerary through the Manage Booking section.. cont2
'648882363938816003'	Native broom from the country of Native. Not to be confused with brooms from Vietnam.
'648674282902548484'	It’s time to start borrowing the phrase "October surprise” from the States. https://t.co/Ydn4A3etfk
'648890919207464960'	Sandton will be carless for the month of October. Move from car and use public transport we are providing. See next https://t.co/AbnRbetyAR
'649040699162124288'	Tokyo film festival to focus on homegrown movies @AFP http://t.co/IoNz1vTO9E http://t.co/beS4jqkwdS
'645550055882145793'	Horror "Idyll" declared best feature film of Slovenian Film Festival
'648668562521853952'	RT @Comd_1st_Bde: Great pic from the @7th_RAR section competition last week @AustralianArmy http://t.co/Q0xGes5GHQ
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'638997283585966080'	The Complete Guide to Wuzhen Theatre Festival: - The 3rd Wuzhen Theatre Festival will be held from October 15t... http://t.co/Za6iCPzhKx
'648880200705527808'	Traffic will be less as we introduce public transport into the streets of Sandton from the 4th of October^TK https://t.co/hJz1ebpbOH
'649177005452304384'	Tokyo International Film Festival showcases classic anime, J-horror and yakuza films http://t.co/scjfw4ZX6W
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'648888508397056000'	RT @FL_Chelle: @torreymspears @MarcACaputo And from the witnesses also.
'648668855942926337'	am loving @BernieSanders
'641238375995801600'	Blackburn filmmaker finishes shooting feature film about sad clown in Cambodia – Lancashire Telegraph http://t.co/T1SLhY9pqd
'648961606982967296'	2 amazing short new films from @fieldofvision at the @the_intercept: one on Syrian refugees, other on Detroit https://t.co/hZXUcJ6h7K
'640663878062374912'	@mikesarc what film bud?
'649294152241319936'	@SinghPramod2784 yes great film
'639402574723067908'	Jazz pioneer Bob James’ Japan-inspired concerto to premiere at the Tokyo Jazz Festival http://t.co/G6NgbP30Ew http://t.co/gwt8pGBBtJ
'647704157806305281'	#PostCabinet The Department of Transport will implement the October Transport Month (OTM) campaign from 1 to 31 October 2015.
'648939279951921152'	Some of my favorite @jamesearljones films are "Claudine", "A Piece of the Action" and "Star Wars"!
'646173849998917632'	Shooting a short film with film director @andri_cung on HIV Aids. #passion #film #acting http://t.co/5ZT5bCaXA6
'644621725091635200'	Happy to be at the opening of the 35th Atlantic Film Festival this evening! A vibrant score of films to come this wk. http://t.co/d9if8kjQ35
'641511021799063552'	Filmmaker #ManiRatnam's next film to be shot in sync soundhttp://t.co/CZ1Mk5jfhd http://t.co/VtkF7zUdZL
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'647578993630277632'	@MattBellassai pay attention to me
'647231045499265024'	Contemporary films from Uzbekistan at a film festival in Washington. Highlights from the Voice of America @Navbahor  https://t.co/Ekoo3tqKFt
'648912894277455872'	Thornton: Pay attention to detail
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'647617932051283968'	RT @BlackBook: The 10 Most Anticipated Films of the 2015 New York Film Festival http://t.co/hR1JU8JH8Y http://t.co/Zy0Pcl9sd6
'648866185904156672'	Tokyo film festival to focus on homegrown movies: TOKYO, Sept 29 — Homegrown movies will be in focus at the To... http://t.co/HZiIALBDKr
'648987713450938368'	@AmberBertolasio Also, "Moon," "The Raid," "The Last Stand," and the "Crank" films.
'647866510535471104'	@Chappers_79 film
'638855086437863424'	Episode 9 will be the third film from a Sundance breakout filmmaker. Episode 8 is written and directed by a Sundance breakout filmmaker.
'644247674330320896'	105 movies from 29 countries to enliven Balinale Film Festival http://t.co/yEVLIWCBnx
----------
With article id: 175bbfbd-b5f9-4bb3-bfa2-a697633060d3 and link: http://www.tickertech.com/cgi/?a=news&ticker=a&w=&story=201509201509290500PR_NEWS_USPR_____PH12880
'644320695975997441'	Caitlyn Jenner files to officially change name in Los Angeles court: LOS ANGELES, Sept 15 — Reality television... http://t.co/9JvETnVJ7x
'648869299373871104'	RT @BrianEntin: Defense attorney tells jury that victim has filed a civil lawsuit against Boynton Beach Police department. @WPTV
'649076843010588672'	Derrick Rose's attorney wants sexual assault lawsuit thrown out http://t.co/dQexUWvys1 #chicago
'646135897964974080'	#OHNewsroom: "We can write the story now. The verdict is going to be guilty or guiltier."
'641508022142038016'	Former Director of Public Prosecutions Sir Ken Macdonald: drone strikes in Syria carry 'serious legal considerations' http://t.co/LRBLsZ6ZXm
'638640693838237697'	@TonyCzercz We support legal process.
'641661986972016640'	@kencharleslong thanks Ken
'646077203764002816'	Reporter @StevenBrill joins us tomorrow with the latest on his epic @highline story on Johnson &amp; Johnson: http://t.co/vvCnliLE1s
'639649459329064960'	RT @SeanFewster: .@Adelaide_FC defender "dragging out" $30K pub brawl lawsuit to get a settlement, court told: http://t.co/xNlGrewvtT via @…
'648893978360676352'	@IGLevine *hugs Ken*
'645411562283528193'	@kenmcnally7 Thanks Ken!
'638544299513122816'	Important: In #Phuketwan verdict, the Court said that the Computer Crimes Act of 2007 cannot be used to prosecute defamation cases #Thailand
'648928821421473793'	Former MPD officers lawsuit against Badger Guns in jury selection http://t.co/WCMUNUa6qP
'646324349666889733'	TUNE IN: Johnson &amp; Johnson and the big lies of #BigPharma: http://t.co/1iP8OlfC2k(Guests: Andrew Pollack and @StevenBrill)
'647806137278922752'	@JosephSerna your take on odds he will ever appear in a Los Angeles judge and jury?
'638543156787589120'	RT @bklas: @yvonnewingett Doesn't make sense to talk abt new funding formula while voter and court ordered lawsuit funding is ignored. #car…
'641442680220708864'	DTN Iraq: Appellate court panel issues tentative ruling in McNair case: A California appellate court issued a ... http://t.co/MR5INMCtWP
'648995538810105856'	#Developing Jury has reached verdict in weapons case against Raymond Fryberg, father of MPHS shooter.
'641248982434361345'	Johnson and Johnson opening a JLABS "incubator" at #MaRS. #onpoli
'648982776054710272'	Check out these views of #Lorain sewage conveyance tunnel from Sept. 29, 2015. http://t.co/IDVOmONyqV
'643584238378323969'	Bahraini Court of Appeals to Issue Verdict in Cases Brought against Zainab Al-Khawaja on October 21 http://t.co/9mjxebWezM
'645602481788067840'	Horrified by Johnson &amp; Johnson's tactics, a sales rep goes undercover http://t.co/1RcxWnx8Pb
'642442098969591811'	Jury reaches verdict in Stephen Casaus trial http://t.co/7XRFvgKhtC
'646791457173467136'	Johnson &amp; Johnson and the boy with the 46DD breasts http://t.co/W9fdM8XbIH http://t.co/aVpufxmT9p
'644605224880095232'	Can someone start a film festival for films that are pulled from other festivals due to legal disputes?
'648877078704558081'	@Sesa_Opas somewhere barely legal
'642549164933541888'	@btaplatt Love Ken Burns
'642150980503535616'	Scaffolding company appeals Clark County jury verdict: A scaffolding company is appealing a nearly $1 million ... http://t.co/jDLAlYy9RH
'644709567385853952'	Johnson &amp; Johnson pulls advertising from The View following nurse comments http://t.co/Le2nhzn5wM #theviewabc #scandal
'644976359069065216'	A Tampa bankruptcy judge has thrown out the defamation lawsuit against Casey Anthony.
'645944311276806144'	Withdrawing from the  Rome Statute has no legal effect on the on-going trials in the #Ruto #Sang cases
'647519340045160449'	Verdict over Alabama corrections officers pay thrown out http://t.co/VSyJ4AqoH2 #wtvanews http://t.co/8FmlksV78v
'648954608124096517'	I should now find some legal angle on Russia or Iran or Hamas or the IRA, and see if the leader of the opposition is still as interested.
'639599841614520320'	"Mr. Holmes" lawsuit reaches settlement, says Arthur Conan Doyle estate attorney http://t.co/Bc7SD5afvR
'644982032448290816'	@shesova Is what legal?
'641844580418109440'	@damonayoung Is this even legal.
'648863635461287937'	The headline should have been "we have to pay a company back for filing a frivolous lawsuit so we could get a settlement"
'641519815379841024'	The profile of @MylesJackman is especially good on how to select test cases so as to push for wider legal change: http://t.co/ZZTwkAWPl9
'648950946093895680'	Harassment lawsuit against tech titan 'G' Chahal dismissed: A lawsuit against controversial ad tech mogul Gurbaksh… http://t.co/sFMzA7brZL
'648649723956498432'	RT @UTWatchdog: San Ysidro reaches $1.8 million settlement in malpractice lawsuit against Stutz Artiano Shinoff &amp; Holtz http://t.co/zTJ6XOX…
'645336098114113536'	RT @highline: CHAPTER IV: The worse the data on Risperdal got, the more Johnson &amp; Johnson seemed to intensify its sales effort. http://t.co…
'639590946590474240'	The jury is out. Waiting for #VanmatreTrial verdict
'649106659411820544'	Chicago (IL) WLS: Derrick Rose's attorney wants sexual assault lawsuit thrown out. More #Chicago #news - http://t.co/aIk1UkgJiO
'644605621912907776'	The #UNRWA Legal Aid Unit in gave legal services to 4K + #Palestine #refugees in #Lebannon #UNRWAfacts
'646064266068533248'	RT @Briancbs4: Henthorn jury has reached verdict. Parties being summoned back to court
'648995802480779265'	RT @KING5Seattle: #Developing Jury has reached verdict in weapons case against Raymond Fryberg, father of MPHS shooter.
'645884559259770880'	@D_Shariatmadari legal reasons, apparently
'640524245324402688'	@Ken_Rosenthal magic Ken
'639372978157977600'	A judge has approved a $415 million settlement in the poaching lawsuit against Apple and Google http://t.co/DTUF1nkLaR
'642453428136873984'	Jury entered court room. Has a verdict. http://t.co/RhM70Up6KX
'644973891161559041'	@MLGJordanD Is that legal? 
'640187757885845504'	@KenofGhastria Thank you Ken.
'642461853134798848'	@daveweigel Is that legal?
'644363901275144192'	Court overturns jury verdict, says 14-year-old girl not responsible for sex with teacher #LiveOnK2 http://t.co/cpoUGTx4qX
'649312874444292096'	@nealrogers that can't be legal...
'644359120225726464'	Accused killer walks out of court before jury delivers verdict http://t.co/C925If01q4
'643590912069738496'	Rise and fire, #Bucks fans. Gus Johnson and Marques Johnson are reportedly joining the broadcast team. http://t.co/Fg1AoQ9oa4
'645914690657239040'	@GordonRamsay @LondonHouseHK Ken Oath!
'639237008372555776'	Sony Pictures reaches settlement in hacking lawsuit http://t.co/nZxgpabfL1
'648997000160104448'	Lawsuit says company discriminated against pregnant women http://t.co/gv5820UMZR
'638796977740849152'	A sex-discrimination lawsuit against @BAESystemsInc moves closer toward settlement. http://t.co/rxmOBwHjbY http://t.co/slqPT55oQf
'644305043743571968'	Johnson and Johnson ‘pauses’ advertising during ‘The View’ after nurse comments http://t.co/pHjIFevBug
'647524125402099712'	@KenSherrill @RossBarkan thanks Ken!
'647085318999511042'	RT @ScottGordonNBC5: Attorney General Ken Paxton announces 5-member legal team to defend him from securities charges.Up from 2. @NBCDFW
'647052134752612352'	@DearbhailDibs On jury for one of his last cases when he fell ill. Spoke to us by phone from hospital bed and signed himself out for verdict
'644619682532708352'	$1.2-million in new provincial funding boosts local health unit base budget to $18.3-million a year. http://t.co/enrVWYf4iW
'645591858853228544'	@Coops_tv Oh, for a legal way to watch The Groovy Fellers! Or The Bill!
'648954990527053828'	JUST IN: jury in Alberto Montelongo trial has reached a verdict
'649243616972398592'	@Philnjax That would be up to a court to decide, which would require a legal challenge/lawsuit.
'641617226492198913'	Trigger for this settlement was threat of filing of a federal lawsuit, @MayorSRB says.
'649268298375270400'	RT @coopmike48: Lawsuit says California budget violates school funding guarantee | The Sacramento Bee: Lawsuit says Calif... http://t.co/YN…
'646034073652170752'	Lawsuit settlement give @MiamiSeaquarium protestors more space. http://t.co/9vwnlKVpYw
'648973671487303680'	Lawsuit says California budget violates school funding guarantee http://t.co/fz7bOjpiFn
'641289594953187329'	@StatsOnFire You mean the signals that were legal to tape from any location for his first 6 years, and still legal to tape from the stands?
'649342930272935936'	@magicbeans Walking is legal now.
'647806221186043905'	@JosephSerna your take on odds he will ever appear before a Los Angeles judge and jury?
----------
With article id: 1e8e36b3-ffbc-4618-b9f8-687ac4ec9883 and link: http://www.consumerelectronicsnet.com/articles/viewarticle.jsp?id=4089518
'643237836901056512'	RT @HillaryClinton: Drug and alcohol addiction is a disease, not a moral failing—and we must treat it as such.
'649253942543708160'	Abbas: Isn't it time for the occupation to end? We are asking you this question
'641683762422525952'	Treating heroin addiction as a chronic condition: http://t.co/rWZlj3kGkd http://t.co/6aXoW6iiZD
'645506518532628480'	What is that addiction that you are trying to break from? #BrokenAddiction @FaithMuturi @DJMOKENYA #CrossOver101
'641336473816424450'	LDS addiction recovery video: Larry's story about drug addictionhttp://t.co/rsE96dNgUw http://t.co/LK1vQasNSv
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'641874708917411840'	Miral explains that the power of the purse is the power of Congress as an institution and not the that of an individual legislator.
'642061266672979970'	#LDS addiction recovery video: Adrienne’s story about cocaine addiction http://t.co/kiqj2Acs0F http://t.co/9BPdCza0MH
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'641859979704696832'	@RonaldVelten @daanvanrossum Hi Ronald. Are you going to Switzerland because of your running addiction? #Jungfraumarathon ^RSO
'640818892785496064'	Professional Video Gaming May Have an Underage Gambling Problem http://t.co/cMmlfP9OWy #games #videogames #mondayblogs #addiction
'646499069645336576'	RT @Pepe_therarest: #ScreamQueens is now an addiction
'648976580530843648'	"The nation's schools are the most inequitable," and @GovernorTomWolf wants to fix that in a long-term #PABudget. - @Senatorcosta
'645500698013138944'	RT @ntvcrossover101: QUESTION OF THE DAY.WHAT IS THAT ADDICTION THAT YOU TRYING TO BREAK FROM?#BROKENADDICTION
'643230044538699776'	Drug and alcohol addiction is a disease, not a moral failing—and we must treat it as such.
'646238130182352896'	@margokingston1 @albericie is this a question you are asking me or a rhetorical question? Or is it an accusation?
'649194628382617600'	Harvard experts explain the rise of heroin addiction in the United States http://t.co/k13R42NDpR
'643051614694154241'	And yes, I know I have a faux fur addiction... 
'645599262135484416'	Yes. STEM addiction. @bumpyjonasdc
'644282491579301889'	They are actually asking a clock kid question
'648867943191838720'	I added a video to a @YouTube playlist http://t.co/xXdE1X47ks Addiction to social media by Sijabulile Secondary
'648691549686005761'	RT @DrDrewPodcast: This week @taraconner brings awareness to addiction with the best of the best, @askBobForrest and @WahlerJason. http://t…
'646202296163004416'	Are you an addict?http://t.co/71XB145Ouk http://t.co/tuoWQpREmn
'647065451789451264'	@HemsVallabh Thank you for asking the most probing question of the day.
'643854585426247680'	Bambi Kohler: Ex-coach tackles heroin #addiction head on http://t.co/kFIWXwHmTH
'639055087294398464'	Glad to see @HillaryClinton is discussing an issue that affects all communities: the epidemic of drug addiction https://t.co/D5hqGErpkq
'639428375656837120'	Illinois House leaders override Rauner's veto on heroin addiction bill http://t.co/qg6YOKOYou http://t.co/ZJ25D2BZoL
'646679645035864064'	@KarieWrites We support this addiction.
'648988474201149440'	Attorneys General Urge Passage of the Comprehensive Addiction and Recovery Act of 2015 to Address Natio... http://t.co/w16PboOdI9 #rigov
'648886287454203904'	Pryor says public may feel there's more protection that the behavior of an officer or individual is affected by whether a camera is on.
'648668855942926337'	am loving @BernieSanders
'649014034243715073'	@doordash_boston No one is answering your and I have a problem with an order. For a tech company, you need to find a way to obviate the fone
'648989267075600385'	Mental health and addiction in Oklahoma: Numbers to know http://t.co/75197YrDD7 http://t.co/UXMevD3AFy
'639242288040771584'	Illinois House Leaders Override Governor's Veto On Heroin Addiction Bill http://t.co/TEttBt4xgW
'643461975498981376'	Bambi Kohler: Ex-coach tackles heroin #addiction head on http://t.co/8OdfAiGfp7
'644895388365926400'	Clinton says addiction is "an issue I have elevated to the top tier of my campaign."
'640246300873613312'	LDS addiction recovery video: Jessica’s story about food addiction http://t.co/zRnMUUR8CW http://t.co/LJ18WnNaB9
'639128428868988928'	Are you a @Pinterest addict? Are you a runway addict? If you said yes to both, follow @VogueMagazine before #NYFW: http://t.co/z3SgmJB7be
'639134895261020160'	RT @laura_june: the addiction of a family member is not about you. if they're living it's not about you.
'639948834886561792'	addiction is addiction  RT @IamTriple @angiemartinez That doesn't count. Lol
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'640509748958339072'	@chazzyb31 Am I mad? Me? Are you asking me that question? Really? Of course I am!
'641283899939782657'	LDS addiction recovery video: Holly's story about drug addiction http://t.co/QtA31kYyi3 http://t.co/xhnIZee8Ct
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'645005010162556928'	@diane_haskins @klemanowicz It's a question we are all asking. Sad.
'642899149910843392'	Missin' Matt walk in Milford brings awareness to heroin addiction http://t.co/TBWZAyR0EU
'639111491292123136'	@ohrohin @MelanieHannah exactly! Creates a new addiction and then feeds it. Like heroin dealers
'648867943162466304'	I added a video to a @YouTube playlist http://t.co/LefEDgLycN Gambling Addiction by Thuto-Lesedi Secondary
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'648868481987944448'	You may not like that the cop has a family and is married, or that this happened. But your job is not to judge morally, defense says @WPTV
'645067411008450562'	@mlbkid162 Beautiful addiction. #Seeyousoon
'641934840313475072'	@jmodoh the question we are all asking!!  @oshergunsberg
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'640590296359669760'	LDS addiction recovery video: Aram's story about drug addictionhttp://t.co/s9BClKE37G http://t.co/PmEe9qcoHP
'643542096033488896'	@rukizzel Truly, you lead the most difficult of lives.
'639094021483200512'	LDS addiction recovery video: Preston’s story about drug addiction recovery | Deseret News http://t.co/MYHJUFgC2T
'640674604084686849'	Morrison: Gambling is an addiction and it's an addiction that those who suffer from this seek to hide. #auspol http://t.co/FlRWJAIwAW
'645506137924747264'	RT @ntvcrossover101: QUESTION OF THE DAY.WHAT IS THIS ADDICTION THAT YOU TRYING TO BREAK IN?#BROKENADDICTION
'648911737979314176'	Burger is a beast for Namibia! #TONvNAM
'640538854617927681'	Is internet addiction a disease? My eye-opening interview w/ the director of @WebJunkieMovie - http://t.co/8ppsNJCj94 http://t.co/MWIui0iwjY
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'640818916877582340'	Professional Video Gaming May Have an Underage Gambling Problem http://t.co/qDbfPL0FdF #games #videogames #mondayblogs #addiction
'642866192831614976'	'Everything you thought you knew about addiction is wrong – and your government is lying to you.' http://t.co/lkYZidqES6
'645552231844986880'	Heroin addiction ended in a lonely death http://t.co/psZAVfpt0d
'648960422876332032'	Also, nothing on the Intellivision is beautiful, and that in itself is a nice aesthetic. Everything is just understood to be ugly.
----------
With article id: eaac395b-6671-4b7e-80c9-2a81f1492aad and link: http://www.ilounge.com/index.php/news/comments/apple-releases-ios-9.1-beta-3-to-developers
'638549467252178945'	Whatever Apple does is (or perceived) original &amp; premium, investing in 'original content' another such offeringhttp://t.co/ZlPSpccJxh
'641708678798835716'	iOS 9.1 Beta Now Available To Apple Developers: http://t.co/7krThDaB68
'638523027840479232'	RT @awallenstein: One source who talked directly with Apple sketched out a scenario where they staff up development and production teams to…
'646750400297701376'	Apple issues second betas of iOS 9.1, tvOS to developers http://t.co/CaNDG1KzWo http://t.co/hyIWdWer4n
'638620854776020993'	Apple's next pursuit: Its own original programming? http://t.co/Rvosf898Ui
'638654502275407872'	Apple explores move into programming business  http://t.co/J3gVwpOJMv http://t.co/kzHIt0TdNj
'649268259779420161'	Apple releases iOS 9.0.2 for iPhone, iPad, and iPod touch http://t.co/gs4EtVk4Tf http://t.co/CSb2rAzvnw
'644254698069995520'	How do I downgrade from Public Beta iOS 9.1 to General Release iOS 9.0? http://t.co/fJPX2SJ5oH
'641694633442025472'	Apple releases iOS 9 GM seed, distributes first beta of iOS 9.1 http://t.co/kMPZOpESkK http://t.co/du1UPCJ9Y5
'646729857146093568'	Apple releases second beta version of iOS 9.1 to developers http://t.co/bYcLg9vL7m
'643141574356930560'	iOS 9.1 public beta apparently fixes Swype.
'641708178489614342'	iOS 9.1 Beta Now Available To Apple Developers http://t.co/NOMWa7tykX by @sarahintampa
'649270582559797249'	Apple has released iOS 9.0.2 with a some bug fixes and improvements. Downloading it now.
'649298945710145536'	Here's everything you can do with 3D Touch on the iPhone 6S, 6S Plus--and it's a lot http://t.co/vgwZcjfwr5 http://t.co/1sLu0yPZRg
'643719782538321920'	@richjm I'm on the public beta for iOS 9.1
'647094443586256896'	iOS 9.1 beta 2 now available for public beta testers http://t.co/V579nNH7XS http://t.co/0Enmvm1Vxe
'649268990947237888'	RT @BGR: Apple just released iOS 9.0.2 one week after releasing iOS 9.0.1 http://t.co/YK0KPbgVVm http://t.co/x9I0UNn30d
'640001780693078016'	ProtonMail iOS beta login screens. http://t.co/Zc0Yivs7Ol
'638527528945250304'	Apple reportedly exploring creation of its own original video content http://t.co/FKXfeNbjcx by @jackidove http://t.co/ki4JVccdSr
'643397606647857152'	Turnbull probably has iOS 9 beta.
'649268062219145216'	Apple Seeds Third iOS 9.1 Beta to Developers http://t.co/XkVQ9XsSrr by @julipuli
'649273191161044992'	RT @TechMinock: Apple releases iOS 9.0.2 for iPhone, iPad, and iPod touch http://t.co/UfkY5eI7Ix
'646734857813422080'	Apple Releases tvOS Beta 2 to Developers... http://t.co/AGEoQMmGz0 http://t.co/5hkQ1JtamO
'638563068801191936'	Apple explores move into original programming business - Variety http://t.co/h0asryi6Cj
'638638801640927232'	If Apple is producing its own content, grabbing Clarkson and co. would definitely have helped. http://t.co/RhsT2gucve http://t.co/OFPH08b4ch
'647112788792471553'	Apple issues second iOS 9.1 public beta, launches iPhone 6s iOS 9.0.1 update http://t.co/FSHkCH3Cwn http://t.co/R1mkb98cVj
'644903061056458753'	RT @neilcybart: According to Mixpanel, iOS 9 adoption is just barely ahead of iOS 8 adoption (which was way below iOS 7). iOS 9: 18.0%iO…
'638521666113536000'	Almost every single detail about Apple's new TV just leaked ahead of its launch http://t.co/quKdLmawDz http://t.co/3Ye9F4Y3tM
'638620855560306688'	Apple's next pursuit: Its own original programming? http://t.co/RM6LqMXolh
'643450334489120768'	@priime Crashing on launch with latest iOS beta. Known issue? Considering regressing down to iOS 8 =) also happy to test beta ver of Priime
'641964502402002944'	Apple releases iOS 9 GM seed, first iOS 9.1 developer beta http://t.co/alInQkhWhJ
'647093221277896704'	Apple Releases Second iOS 9.1 Public Beta http://t.co/qXDUHEw96Z by @julipuli
'642053618221359104'	@chockenberry macOS. iOS 10 and OS X is just too damn confusing.
'649296560518504448'	iOS 9.1 public beta is now out as well http://t.co/5avhHpKSNG
'649251114089512963'	A note on our iPhone 6s and iPhone 6s Plus case reviews http://t.co/9xcDFdWySs
'639843895963189248'	@zkahn94 but yeah I'm using the iOS 9 beta
'649283427766677505'	iOS 9.1 beta 3 fine-tunes new emoji and bug fixes for devs http://t.co/I1TAviXXWG http://t.co/oF01XTxI2e
'642236713184722944'	Apple iOS 9.1 Public Beta Available for Download http://t.co/97p4v66bXJ
'638619358072193024'	Apple's next pursuit: Its own original programming? http://t.co/VzEVZMqcoR
'649262954064515074'	iPhone 6s review: 3D Touch gives Apple the sweet smell of 6s http://t.co/mVaYySOpjV http://t.co/Jy0ghdZL09
----------
With article id: 5a07213b-7e81-4e0c-9dfa-758ae4c1ae3c and link: http://www.stuff.co.nz/dominion-post/news/national/72563907/Mars-sparks-Antarctic-interest
'644150613694119936'	Antarctic sea ice hits 35-year high: http://t.co/j87enmJInz
