With article id: 1478bf7b-1c23-4235-9ed2-b8c287fc952c and link: http://www.reuters.com/finance/stocks/INWN.NS/key-developments/article/3268357
'638593402930524160'	INOXWIND - Inox Wind Bags 100 MW Order from OSTRO Energy http://t.co/PxDAnQiIjV
'645230247038750720'	@ktgibbles @Medium Thank you!
'638958075009978368'	Reporting on crime encourages crime.Riiiiiiight
'648693018359304192'	Medium raises new cash while Facebook gets more Medium-like via @FortuneMagazine @mathewi http://t.co/loym1KKMqo
'638721782850129920'	RT @waldimar: Hlaudi Motsoeneng last night in Insig: If you always report on crime, you encourage young people to commit crime.
'648663154365440000'	@pmarca @a16z @Medium @ev AWESOME
'639008415457628160'	Methinks we should test Hlaudi Motsoeneng's theory and not report on crime for a week.
'646049008926875648'	Chicago (IL) Tribune-Business: Onion launches StarWipe celebrity parody site
'642349514225946625'	Via @hhbridges: Mackay - Incident, Dartmouth bound medium / Halifax bound medium volu... #t
----------
With article id: be94f275-223c-46bd-8efd-fafa03872368 and link: http://news.yahoo.com/evonexus-demo-day-features-san-diegos-most-innovative-134500328.html
'641792181351657472'	San Diego State with a great pick up in top 100 PF Jalen McDaniels. Love his upside. 6-9, mobile, athletic &amp; skilled. Just needs strength.
'639182859811446784'	U.S. TREASURY'S LEW - WILL HOLD CHINA ACCOUNTABLE ON CURRENCY. By welcoming their battleships in San Diego?
'646630105083682816'	Mix and mingle over free drinks, and see these 50 of the world’s best startups demo their companies: http://t.co/obf6PEYLs4
'648671130618753024'	Nice sunset. Stay classy, San Diego.
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'645682586245836800'	RT @Popo_WCPOSports: Dunlap and Atkins end the San Diego drive at the Chargers 2.  @WCPO
'644249777291444225'	RT @500Startups: Great advice from @abarrica: "7 Lessons from 500, YC, Angelpad alum — How to Prepare For Any Accelerator Interview" http:/…
'640274905968308224'	@jorgearangure @MartinoNYDN - He is the San Diego of sportswriters.
'639318935481925632'	Israeli #biotechnology firm voted Among ‘Most Innovative #Startups’ Globallyhttp://t.co/v1LMojNCY1 via @NoCamels http://t.co/T3tqOd9BmY
'648668855942926337'	am loving @BernieSanders
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'638945235666493440'	'It thrives in the secrecy of its leaders and the blind obedience of its members. Because of the secrecy of their... http://t.co/Zi87rrYpzK
'639132184134160384'	San Diego and Carlsbad home values gain 5.2% in July, according to report (via @SDBusiness): http://t.co/PNNNHunzLP
'639144438233624576'	@Snemyllas not San Diego...Diego Garcia ...and it was WAY b4 iPhones and YouTube !!! :) :) i need evidence !!! real !! :)
'642993889188708353'	RT @RightsRecourse: In the case of the Khoi and the San what are the tribes making up the Khoi and the San &amp; what differentiates them from …
'639448678109868032'	Seven New Startups From Silicon Valley's Favorite New Demo Day http://t.co/W2NB1UFOOW by @cookie
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'643379440953769984'	10 truly innovative auto startups http://t.co/0WNrvhILsF
'639164122655944704'	The group is expected to fly back to San Diego tonight or tomorrow @CBS8 @News8
'639257263274745856'	Our last day in San Diego. 
'639622638181027842'	First punt of the day for San Diego and Hayne is back to return! http://t.co/qBSBYwfl20
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'643823426155581440'	On way to Orange &amp; San Diego counties to discuss the U.S. And local economies. #RealEconomy #MiddleMarket
'645905448701440000'	Mix and mingle over free drinks, and see these 50 of the world’s best startups demo their companies: http://t.co/U8qyz6qkDG
'643944734847815681'	I’ve updated my San Diego State report to include a statement from SDSU and explain what it means.Story: http://t.co/AmuPFRmi60
'645781361907863553'	10 truly innovative auto startups http://t.co/xVoDSuv5qA
'641601828715671552'	Entrepreneur First Demo Day: Meet The Nine Startups That Presented (And Read Our Take) http://t.co/eEcl4jtL2d
'646681387337035779'	#PopeFrancis now addressing the crowd in DC. Watch LIVE on San Diego 6  right now!
'640415642655453184'	Headed to @MatineeUSA San Diego!
'645594629606391809'	San Diego State finished 254th nationally in two-point shooting, 266th in 3-point shooting, &amp; 339th in FT shooting. Finished 27-9. DEFENSE.
'641082679056842752'	San Diego tonight https://t.co/qt2IYrKIfy
'638900073917624320'	"Summer of shame": DUI-related deaths on the rise in San Diego http://t.co/b8QpLzdPsk
'639229317516361728'	@capriottisjason We had em in San Diego.
'645303906403262464'	San Diego Restaurant Week starts tomorrow!  (@ San Diego, California) http://t.co/VrvxTL1kMD Details http://t.co/IN1MhPBPa1
'647065649802383362'	@AiritamNation Safe travels in San Diego, Scott! ❤️✈️
'644293503980339200'	San Diego's USS Midway named top museum. http://t.co/BZozz19R4C
'648918614851080193'	San Diego is leading the way to a brighter and more intelligent future. http://t.co/j3Z6NNiZLq http://t.co/JLOHoxhRfi
'645016187588382720'	5 years ago today @BlaineGabbert threw a pass, @JerrellCJackson threw a block and we stole one from San Diego State http://t.co/ofDnMbWJUF
'644302607691853824'	RT @UTDavidGarrick: 'Minidorm' battle intensifies near San Diego State. Revised ordinance gives city new weapon against rowdy houses. http:…
'642744397868724225'	RT @highburyonfoot: Glad to bump in to @natalieben and @GreenJeanMEP at the #refugeeswelcome demo. An inspiring day. Overwhelming warmth. h…
'638900393808793600'	'Summer of shame': DUI-related deaths on the rise in San Diego http://t.co/b8QpLzdPsk
'647815657816371200'	.@gordonwjones takes a closer look at @PennStateFball's matchup with San Diego State: http://t.co/MZpHyuA9Sj http://t.co/2nhYsRou1m
'638916959325716480'	@numillustration oh hai San Diego nerd. I too am a San Diego nerd.
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'646906042786275329'	SAN DIEGO -- Rewrite.
'649307816780505088'	Now on @KPBSMidday: San Diego exhibit explores intersection of art and music. http://t.co/zKh7AD667Y
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'644897997034098688'	#Stanford World’s Most Innovative University According To Study « CBS San Francisco http://t.co/120SHbsv1g
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'639451207677931520'	Seven New Startups From Silicon Valley’s Favorite New Demo Day http://t.co/bauhca1t48
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'638850597215698944'	Why @pacifyapp is 1 of the most #innovative #telemedicine #startups defining #healthtech’s future http://t.co/1QVK7Wsqpn
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'649297308673277952'	#LIVE at #GEMM15 San Diego's #brainycity journey leveraging the #IndustrialInternet https://t.co/LYDXLXr1gs
'646423824812998656'	The Now - San Diego's most color coordinated news team ;) @10News 4PM @arielwesler http://t.co/zZukUTOFHQ
'642715106573447168'	RT @highburyonfoot: Glad to bump in to @natalieben and @GreenJeanMEP at the #refugeeswelcome demo. An inspiring day. Overwhelming warmth. h…
'643899606254813184'	San Diego has broken its rainfall record for the day, with 1.15 inches of rainfall at 2 PM. The previous record was 0.12 inches in 1906.
'645362512221769729'	RT @smoss: RT Check out myself and @1Omarion shutting down the stage last night in San Diego,CA http://t.co/U262X9O1Fw
'644818222429159424'	Mix and mingle over free drinks, and see 50 of the world’s best startups demo their companies: http://t.co/2qzbzg2Qlv http://t.co/Jf9u0jonH3
'644168882945699841'	50 of the world’s best startups will demo &amp; you’ll get an exclusive chance to see the diversity in our tech startups! http://t.co/KgHkgn2wik
'639203678273073153'	This weekend, meet former and current Olympic hopefuls in San Diego as part of "Road to Rio:" http://t.co/z6amdFNXus http://t.co/Dz1l2TGC4p
'648032281999753216'	Thank you, San Diego.
'647274378338549760'	12 of the most overdue books in San Diego: http://t.co/i1EWRsfmhZ http://t.co/2t53dyyCV1
'639162295306878976'	RT @KCusatoKUSI: San Diego Unified wants you! The need for teachers, and the candidates who want to be in the classroom. @kusinews http://t…
----------
With article id: 011e98e2-0434-4004-b020-7a4a81e12d68 and link: http://www.hardenexpress.com.au/story/3325396/graffiti-inspired-site-in-collingwood-on-track-to-showcase-rooftop-trains/?cs=9
'640095672386109440'	Train was going south to Pecs, police telling refugees it's the wrong train. Some got off train and waiting to take internal train west.
'649350065769738240'	@findmystation Riverhead, NY
'640214252549218304'	@mrmissm you are guaranteed to get on a train tomorrow but no seats/trains are allocated on tickets @ScotRail will be at stations to help
'642043615083130880'	@ericaelliott The train! Why not take the train?
'639457794597388288'	BNSF on train vs train on Port of Tacoma Rd and Marshall Ave:BNSF train was stopped &amp; Tacoma Rail train hit it. Engine &amp; car derailed.
'642631085508177920'	Reminder: No trains operating on SRT due to scheduled track work. Replacement buses operating.
'644104708949430272'	The 7:54AM train from Deer Park due Riverhead at 8:55AM will originate in Ronkonkoma Station today.
'638817456945913857'	Word on the street is graffiti.
'638614525051179008'	Train Carrying Migrants Stopped At Hungary - Austria Border: Austrian train operator ÖBB has stopped a train f... http://t.co/vNFd9uBgMn
'641934796747341824'	7:54AM fr Deer Park due Riverhead 8:55AM will originate fr Ronkonkoma today due an unauth car on tracks struck by a train east of Bethpage.
'638864309808955392'	@SmallLady0 There appears to be a train there now. There has been a gap between trains due to the earlier medical emergency ^LA
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'642310923865169920'	The 7:54AM train from Deer Park due Riverhead at 8:55AM is operating 10 minutes late due to signal trouble west of Ronkonkoma.
'640123339500048384'	Six employees at Riverhead and Wading River businesses sold liquor to minors, cops say http://t.co/ZV8BJyjW9X
'646868160965033984'	Got stopped at not only one but TWO trains on the Ring Road. Crossed one set of tracks to get stuck at the next. Didn't know could happen.
'644237583724122112'	Irish Rail appeal to Graffiti artists to stop drawing on trains arthttp://goo.gl/KYFjBg http://t.co/H3XfduMD4w
'644860039346282496'	@fwph Sorry to hear that. E trains are running on the F line at this time due to a train with mechanical issues in the river tube. ^JP
'642070990567116801'	McConnell on floor quips there is a finite amount of floor time and mbrs should "bring him a bill that can override a Presidential veto"
'642548225749094401'	Destination Cleveland Trains Uber Drivers To Showcase Cityhttp://t.co/TyXl8ojPC1
'642666270299549697'	Collingwood cooling on Carlton's Matthew Kreuzer: Collingwood are believed to have cooled on the prospect of s... http://t.co/Y732nZU3kK
'641757849526345728'	@DigbyEvan Train 1 will be pushed by Train 2 &amp;  Train 2 will be approximately 20-25 minute late. ^DA
'639458341715091456'	RT @MariaKIRO7: BNSF on train vs train on Port of Tacoma Rd and Marshall Ave:BNSF train was stopped &amp; Tacoma Rail train hit it. Engine &amp; c…
'638840421154734081'	@IDCavanagh Just to clarify, these are the speakers on the platform and not one in any of the trains, correct? *mh
'638865707426426880'	Melbourne train strike: Train cancellations Thursday, September 3: Planned train cancellations for Thursday, S... http://t.co/QxvcwBh9OO
'645258847439953920'	With trains running on the new Waverley Line, now is a great time to explore the history of railways in the Borders! http://t.co/xKzj8a504i
'648668855942926337'	am loving @BernieSanders
'644159171387092992'	RT @SEPTA: Airport: Train service has resumed operations. Trains #423 and #424 are first trains to and from the Airport.
'644194186040705024'	Graffiti on trains cost @IrishRail €250,000  - http://t.co/9pJQgG6cv3
'640512794148929536'	Time to change trains: Refugees move from the Hungarian to the Austrian at the Hegyeshalom train station http://t.co/Q2jIc5TUpr
'647179871064584193'	Work was not finished on a railroad track in Athens. A train is stopped on the tracks and the road will be blocked for several more hours
'639326606603997184'	"a new period of stagnation, its depth can be judged by the fact that not even Beslan could disturb it" A. Politkovskaya on Russia 2004
'646578762738479104'	@sratkinson1 Hi, some trains were held earlier for a brief period due to a trespasser on the track. It's all clear now and trains are moving
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'647796585523453952'	Train Trivia: In train terminology, what is a "yellow eye?"
'641777338603192320'	@EliseGolanowski The delay is most likely due to the volume of people on the trains. The planned roll out of 4-car trains later this 1/2
'639570493675188224'	It can be at a high level and one of the best leagues in the world.@MLS  https://t.co/iP92Mi2s35
'648101529413545984'	@MyriamBostwick Trains are running on or close to schedule at this time did your train arrive?
'639492323383078912'	One of those days. Lots going on, it's difficult to find time to write about it all.  Can there ever be too much news ? #f1
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'639095399102480384'	@justplaneray lol, what? I went from train to train
'642316770708168704'	The 7:54AM train from Deer Park due Riverhead at 8:55AM is operating 26 minutes late due to signal trouble west of Ronkonkoma.
'639567913838641153'	@ReeseEdward It depends on the game, Reese. There will be a library of over 100 titles that will be supported at the launch of the service.
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'648883208994459652'	RT @SinoCooper: China pins hopes on trains to put economy back on track https://t.co/9ycm52m8dQ
'639330498158854145'	A person’s prosperity can usually be measured by the amount of difficult conversations they are willing to have.
'644257258659020802'	Riverhead, St. Mary's Bay rocking the quinoa fields! Man oh man I love that town. #thenews
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'639246445674008576'	@CJ_Roses Sometimes. Don't always have the time to check figures on the spot. It can take several days. Do you have a quick way of checking?
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'639327579602731008'	RT @fulelo: "a new period of stagnation, its depth can be judged by the fact that not even Beslan could disturb it" A. Politkovskaya on Rus…
'646250840349519872'	@ptv_cwerwerd We had a police request to stop trains. Trains are now back on the move.
'642034734076456960'	Destination Cleveland Trains Uber Drivers To Showcase City via @SceneSallardhttp://t.co/TyXl8oBr0B http://t.co/1TcqS3PGEF
'644610636488556545'	@DJMikeShorty There are # of trains that do that. What time do you take the train and I can give you some times so you can avoid them. *RS
'640260775257505792'	Two skydivers collided in a freefall over Riverhead: http://t.co/EZC28HbnWY
'648487425715470337'	@AshleyBillard bitta Riverhead in that one
'647301077256114176'	Jakarta Train Crash: Train Drivers Always Supervised  http://t.co/R5efRdaTSp
'649370949024935936'	High priority to get on track http://t.co/YKrDz8xhDx  #Cranbourne #Melbourne #trains http://t.co/oCwstMc17J
'639345127648051200'	Police lining the station platform now. Protecting a train without migrants on. Looks like a domestic train on opposite platform
'642325357018906624'	Today is my first time in NYC on 9/11. You can feel it, even on the streets and the trains nowhere near downtown. #911Day
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'646120634611826688'	@Mallbro The only information that I have is that they're working on it and the trains should be running by the end of the year. *mh
'639585416593719296'	It could be worse. You could be a loser who doesn't even know Snapchat tricks. Like, can you even imagine? https://t.co/sJaMofLaah
'643552442248884225'	Judge allows BNSF trains on new marsh track in #Wisconsin http://t.co/BbUORMozO8
'644138445691060224'	Irish Rail appeals for end to graffiti on trains | http://t.co/B5JOstGFer (SN) http://t.co/O580nGnxxS
'639782708244291584'	September $VIX up 1.325 to 26.95 / October VIX up 0.775 to 24.65 after Non-Farm Payrolls number
'639379155084251136'	@naskola hi nissy. Sorry to intrude on you at this difficult time. Can you follow me for a DM?
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
----------
With article id: 9c2abfde-02c5-4342-8a24-7c929090a6f8 and link: http://www.bet.com/topics/b/ben-carson.html
'639907285834301441'	1-Presidential Candidate Ben Carson.. | 2-2016 Presidential Election Prev.. | 3-Fourth Amendment and Technology, P.. http://t.co/9s7bb7143k
'643985555081048064'	Kit Carson &gt; Johnny Carson &gt; Carson City &gt; Carson Daly &gt; Ben Carson
'639444523786047488'	RT @bucklitsch: The little Syrian boy was well clothed &amp; well fed. He died because his parents were greedy for the good life in Europe. Que…
'641613955237068800'	Republican presidential candidate Ben Carson to take 'driving tour' of Ferguson: http://t.co/2IXpCov8o9 via @STLtoday
'642778990978158593'	RT @calestous: Life's tragedy is that we get old too soon and wise too late. - Benjamin Franklin #quote
'644331347213983744'	Ben Carson suggested to George Bush that he not invade Iraq in 2003?
'638917174451531776'	RT @happywisequotes: An investment in knowledge always pays the best interest.— Benjamin Franklin #quote
'647007609027985408'	RT @Katie_Jeffries: ST JOHNS: SR-16 &amp; Masters Drive look out for an injury crash there with lanes blocked #KatiesCommuters
'645857355545116672'	No #Muslim should be #US president: Carson: #Republican presidential hopeful Ben Carson said http://t.co/O4Sai3fxh2
'645595768578023424'	Republican presidential candidate Ben Carson says no Muslim should ever become US president http://t.co/xEKK45ld7E
'641338184903716864'	Conjoined twin girls successfully separated at Ohio hospital http://t.co/wAgBJKtr6M
'642743496273608704'	Presidential hopeful Dr. Ben Carson addressing the Aiken Republican Club http://t.co/PWIl1Y4XZ7
'644326484451151876'	RT @joanwalsh: Well I thought Ben Carson was sleep-inducing during the last debate (except for his close) and he rose in the polls. But jee…
'644318474026749952'	Where's Ben Carson?
'642839323172143104'	Republican Presidential candidate Dr. Ben Carson visits Aiken http://t.co/vZ6AU0MbYH http://t.co/1lbiorhBhq
'641335668430499840'	Dr. Ben Carson is in San Francisco to discuss why he believes he should win the Republican presidential nomination. http://t.co/82effOopKC
'646424063275995136'	SCJ News: Carson blames 'PC culture' for Muslim comment flap: Republican presidential candidate Ben Carson on ... http://t.co/EAv34HkCYc
'639458086902755328'	RT @bucklitsch: The little Syrian boy was well clothed &amp; well fed. He died because his parents were greedy for the good life in Europe. Que…
'644326469758550016'	RT @marclamonthill: Every time Ben Carson discusses politics I'm more and more convinced he was meant to be a surgeon.
'644303471206920192'	Wake up, Ben Carson!
'639255016528699392'	Well, he did say he was running for president. It's a head start on diplomacy. http://t.co/JkJWLgvxsC
'644303533072875520'	RT @jyarow: Ben Carson: 
'642410121427968000'	Interviewing Ben Carson in a minute. Pretty sure he is the only person I've met who has separated conjoined twins joined at the head.
'648478513352306688'	Republican presidential hopeful Carson visiting N. Carolina http://t.co/5Q7EYtSZRS #LiveOnWLOS
'639871749786480640'	Latest News: Ben Carson, Republican presidential candidate, to speak Sept. 17 in Topeka: Republican presidenti... http://t.co/lyIQ4oGoMN
'641121337788997632'	#Minnesota mom shares photo of surviving conjoined twin http://t.co/f0omCIKv8t #health http://t.co/2SkSlhEFDc
'641298704729772032'	Conjoined twin girls from Uganda separated in Ohio surgery: http://t.co/a5cxSO3Nq4 #liveonFOX45 http://t.co/29LPt1ZI1s
'645537982867488768'	We are all born ignorant, but one must work hard to remain stupid. - Benjamin Franklin #quote
'647201617926754305'	Kanye West calls Republican presidential candidate Ben Carson "brilliant": http://t.co/HiQp3uBliM http://t.co/wqQOknZF2w
'644357658909261825'	RT @RosieGray: Carson says his comment about warning George W Bush about Iraq in 2003 was referring to a letter he sent him
'646396605944479744'	Republican presidential hopeful Carson blames "P.C. culture" http://t.co/aj5IXsbE2C
'644318745771380736'	Ben Carson can't stay awake
'644303499472277505'	Ben Carson: 
'644326500754395136'	Ben Carson: First person to successfully separate conjoined twins and first to mistake Donald Trump for a socialist. #GOPDebate #2016atAEI
'639288314256838656'	RT @10NewsHaggerty: Told me the package he sent to JoJo from Dance Moms was stuff he didn't want anymore. He was moving. So he sent her his…
'639566653525782528'	Applause for Christie in Berlin, NH, when he says he was the first governor to endorse Romney 2012
'649077621284691968'	Johns Hopkins rolls out new plan to increase local hiring, contracting: Johns Hopkins University and Johns Hopkins… http://t.co/Vg6xG8omx0
'643473766102601728'	@politico someone needs to tell Ben Carson that his goatie makes him look like he is stuck in the past
'639286103145508864'	RT @10NewsHaggerty: Told me the package he sent to JoJo from Dance Moms was stuff he didn't want anymore. He was moving. So he sent her his…
'644781056168583168'	Johns Hopkins researchers develop hand-held chlamydia test: Researchers at the Johns Hopkins University have… http://t.co/muQRiKdIGe
'638840572296359936'	Is surgeon and presidential candidate Ben Carson the Trump alternative? His star and finances are rising: http://t.co/Y5PZ5wOGVT
'644307344453599232'	Is Ben Carson high?
'644332003697922048'	“President George W. Bush is a great friend of ours,” Ben Carson says.
'649093450017599488'	Hopkins announces local 'build, hire and buy' initiative: The Johns Hopkins University and Johns Hopkins Health… http://t.co/LE9W91a4wG
'644281994831118336'	Detroit native Dr. Ben Carson shows early momentum in Republican Presidential campaign. http://t.co/8GWU2d7Ugd
'646183053669322752'	Outcry against Republican presidential candidate grows louder http://t.co/SdgHGrjKfG
'644929910658760706'	RT @BuzzFeedAndrew: Ben Carson: Foreign Policy Advice Is Reason Bush Awarded Me Presidential Medal Of Freedom  http://t.co/vaJgYpQ2fE
'639455145890316288'	Update on #Cardale from OSU: "He was released from the center following the examination and he is doing fine today."
'641768820193923072'	@mckaycoppins Ben Carson is
'644941673731067905'	Ben Carson: Foreign Policy Advice Is Reason Bush Awarded Me Presidential Medal Of Freedomhttp://t.co/qIfPvTwvVW
'645622444846284800'	Republican Presidential candidate Dr Ben Carson says Muslims should not be President http://t.co/TbGldhWFYG
'645101796222865409'	Carson jokes about Trump dropping out of race: Republican presidential candidate Ben Carson celebrated his birthday… http://t.co/S2RcSnHzc9
'645611462157840384'	Republican Presidential candidate Ben Carson was asked if Islam was consistent with the US constitution - he replied it was not.
'639322869541933056'	@nichocheng @rosnerc He said the New Straits Times was the paper in his hotel.
'644941729783771136'	Ben Carson: Foreign Policy Advice Is Reason Bush Awarded Me Presidential Medal Of Freedom http://t.co/qIfPvTwvVW
'644215814296440832'	Johns Hopkins Study Suggests Teen Marijuana Usage Has Gone Down: A recent Johns Hopkins School of Public Health… http://t.co/HtFSdnjuK9
'645671262082236417'	@BenSaunders Benjamin, we sure hope you enjoyed the flight today!
'639375041839386625'	@jorisbohnson He was doing that in 2003 was he?
'645622568477523969'	GOP candidate Carson: Muslim shouldn't be elected president: WASHINGTON — Republican presidential candidate Be... http://t.co/D9Ad1bmMqi
'639445064234745857'	RT @kenkolker: Dr. Rao: Trigger that day: "To me it was very clear, the phone call from his stepdad that he would be beaten and he would ta…
'645893796102733824'	He would make a good Republican presidential candidate.
'642751038626250752'	Ben Carson Says A Screening Mechanism Needed To Resettle Syrians: Republican presidential candidate Ben Carson said… http://t.co/e3GY3yu86R
'645686974804660224'	Career day for Travis Benjamin just got even bigger. Unbelievable.
'644221231617605632'	Mom holds surviving conjoined twin for 1st time http://t.co/K1Exxp51KQ #denver http://t.co/pWKzH2JdyW
'644268541261180928'	Dr. Ben Carson surging in presidential race: Dr. Ben Carson is gaining political ground in the Republican race for… http://t.co/jxrDggEe79
'644344733356027904'	BEN "One Nation" CARSON.
'644306179905208320'	So far, Ben Carson winning.
'641143970966278144'	Mom shares photo of surviving conjoined twin http://t.co/5HeuQ6eogE
'640918280941772801'	Mom shares photo of surviving conjoined twin http://t.co/o7xwimlOI3
'645961233280204800'	RT @RonLedgardABJ: #Browns report: Travis Benjamin slays #Titans for second season in a row http://t.co/npJExIoDNz via @GeorgeThomasABJ
'641227975799672832'	At #SPPrally #bishantp candidate Benjamin Pwee: you can’t have third parties in a marriage, but you must have third parties in Parliament
----------
With article id: 17e7c861-f3cf-49d3-bf93-4daf4a99324c and link: http://www.bworldonline.com/content.php?section=Nation&title=revilla-wants-34-defense-witnesses&id=114665
'645968273905881088'	Drug dens discovered near Camp Crame http://t.co/RYPYjOyhHX http://t.co/pMUt1WF6NT
'644806602508275712'	PIA-6/ILOILO: The Philippine National Police Regional Office has tapped the support of other law enforcement... http://t.co/ggtg5GiAM5
'641054244762742784'	RT @RobMarkman: Mos could rap as well as any of the MCs on the GOAT list. His flow was phenomenal and always in pocket. And he could sing.
'647081833323212800'	RT @whec_nrudd: Defense says it will have witnesses. No list or number yet. #tantrial
'639309054850928640'	PHOTOS: Four houses destroyed by fire in Tatalon, Quezon City | via @allangatus http://t.co/ew4Oh44pwE
'639435702602760192'	Will Drilon, Abad, Roxas be defense witnesses for Revilla in PDAF graft cases? http://t.co/bHrni2xuqt http://t.co/eSxsDrV8gm
'639769738894118913'	On #TheWrap: Senator Bong Revilla eyes at least 34 witnesses in his graft case http://t.co/prT7fjFLKq http://t.co/0ql9UFS9Zr
'639090286002601984'	RT @dcollinsWBAL: Defense plans to call pros &amp; investigators as witnesses.
'639517949179596800'	For those hoping to travel from out of town to see the Pope. It's time to start looking at the Philly Archdiocese as part of the issue here.
'640313505007034368'	Lawmaker's wife denies involvement in PDAF scam http://t.co/JambElqg6a
'648132238354223104'	Fake cop falls in Quezon City drug bust http://t.co/mClYKnGcn0
'639538038977249280'	RT @aminugamawa: Buhari uses a number of cars, 2 of which he bought from his savings and the others supplied to him by the FG in his capaci…
'639958681795215360'	Lawyer: 50 more lawmakers to face PDAF scam cases http://t.co/zkYPdj6IQ1
'639012411786199041'	TESDA chief Villanueva, Roxas ally refute new PDAF scam allegations http://t.co/Iw0buoZsZw
'646223394472525824'	CSO Demands Probe into Alleged Misuse of N3.6bn Power Training Fund http://t.co/mosMEH5UhR
'645961196869279744'	RT @seracongi: Bond's defense: She wants to cooperate, wants McCarthy to pay for his crime #wcvb
'638928082586439681'	TOP STORY: Senators Enrile, Bong Revilla, and 18 others tagged in new PDAF scam. http://t.co/wS4MdGMkkU http://t.co/35ms53eYwL
'640033501039972352'	In 2001 Justice Skweyiya joined the Bench as a Judge of the KwaZulu-Natal Division of the High Court #RIPSkweyiya
'642264973234864128'	@kati_soph he has a surprisingly good sense of humor. However, I never want to be the accused in his court.
'645809732142260224'	From @dzIQ990 Drug den beside Camp Crame raided by PNP-AIDSOTF http://t.co/7X4LDpj03i http://t.co/DMQUYevLpR
'645043152261414912'	Naw, @realDonaldTrump isn't a racist, he just wants all of the racists to vote for him.
'639334535809900544'	The brother of a boy kidnapped &amp; murdered by the IRA in 1973 says he wants as much information as possible to come out of the HIA Inquiry
'640248473590235136'	I was the only reporter he had talked to and also gave the copy of his resignation. https://t.co/ipMYZr29Pi
'639581092274503680'	Second victim in Quezon City van shooting dies  https://t.co/agdbSYj4xk
'643694705365151745'	PIA-6/AKLAN: Facilities and equipment of the Philippine National Police, will be on the list of priority,... http://t.co/63M4417NBc
'639313799346982914'	VP Binay says at the start of his administration, he will immediately push for amendments in economic provisions of the Constitution
'639792575646339073'	50 more solons to face PDAF scam cases: lawyer http://t.co/HUISCoEJ3V http://t.co/epzUYqQNii
'643664919808749569'	Prosecution admits getting "exhausted" of PDAF scam trial | via @marcelo_beth
'642209143995150336'	RT @marcelo_beth: Enrile on defending himself from PDAF cases: I've been trained as a lawyer, a trial lawyer, an all around lawyer. I'm not…
'649061773820174340'	Sen. Bong Revilla admits that he wants to run for president but not this coming elections | via @marcelo_beth
'639370644229124097'	RT @nirananketell: He also established a rock solid bulwark of a block vote against the MR regime.  He was and is the real Leader of the Op…
'645850992018194433'	PIA-6/AKLAN:  The municipality of Kalibo is urging the Philippine National Police to assign more policemen here... http://t.co/KZmg7dxV4a
'638646018943385600'	#Mbendu The 2nd accused also says he doesn't know of any circumstances wjy he should be denied bail - confirms the statement was his.MV
'639060260163031040'	Defence lawyer Eugene Tan says crime scene has been renovated, seriously compromising case. #cbcns
'643290607914369024'	2 killed in Quezon City drug bust http://t.co/gcSY7ZIcgz
'639676778957676544'	RT @GarShehu: He bought two of the cars from his savings and the others supplied to him by the FG as a former Head of State.
'648661325023985664'	Witnesses claim the officer involved in the shooting is the commander of the district ..
'646092932743737344'	Drug dens near Camp Crame raided; 15 nabbed http://t.co/MDmusSUf2x
'643186333960261632'	Anfernee Benitez is making his 15th start of the season for the Osprey. He has lost his last three starts.
'639467382659018752'	The Prime Minister of Hungary Viktor Orban wants them in a detention camp.  https://t.co/LDRNSL37kA
'645722334322528256'	@banduakiri With her lawyer??
