With article id: c24983f3-70bc-4e1e-b1ab-75d559adc338 and link: http://www.cnn.com/2015/09/05/us/tropical-storm-grace/index.html
'640324923706097665'	Tropical Storm Grace forms in eastern Atlantic http://t.co/yNbAvOswLH
'639994415415721984'	Collin McHugh propels @Astros past Twins, 8-0. McHugh doesn't allow a run and gets 6 K in 7.2 IP. http://t.co/2d30CAp9CX
'644596515831447552'	Taoiseach - Together, we helped create 125,000 extra jobs since 2012. Together, we made Ireland Europe’s fastest growing economy @ibec_irl
'648876594711412736'	IBM to create 110 jobs in Ireland  http://t.co/xmwA1nUc6c
'645920270004408320'	Motorway service area to create over 100 new jobs in Kilkenny: http://t.co/qL5Sbia2Hn http://t.co/FnJ3QSLODr
'642246254941093888'	Lagos leads in natural resources conservation http://t.co/ZNfTkzG0Wf
'646686054314065920'	Vedanta retrenches nearly 4,000 jobs in India since January http://t.co/OpstrWpcUj
'639485522340147200'	Daniel Howes: ‘Business-like’ bargaining marks automakers, @UAW. http://t.co/rF3aEfFPl4 http://t.co/AiREXXjFKz
'647458857552228355'	#AZFire #AZJobs NATURAL RESOURCES SPECIALIST (NEPA COORDINATOR), GS-0401-12 http://t.co/PWbPtjEPCo #wildfire
'641236837608980480'	Intelling to create 250 jobs in Northern Ireland http://t.co/DUmNrpIuWM http://t.co/CRNZv5UPsZ
'647793527024451584'	Daniel Sturridge back in business https://t.co/YaQTYT3GM0 (via @footmercato)
'638622028732481536'	RT @RuaidhriOC: My analysis of Joe Schmidt's 31-man Ireland squad: http://t.co/op5ULqOi31 #rugbyunited
'645330435371859969'	RT @AlanFarrell: The level of spending by overseas visitors in Ireland increased by 16.2% in the first six months of this year. http://t.co…
'649324095092355072'	@GovHerbert to Congress: Oversight of natural resources best left to states http://t.co/s8ywsmLXmx
'640741770473668608'	#PNG PM welcomes leaders: Source: The #National, Monday September 7th, 2015 PRIME Minister… http://t.co/fIw25Qd4WL
'640726171106320385'	#PNG Officer calls for proper housing: Source: The #National, Monday September 7th, 2015… http://t.co/USkSs2HLiY
'645612137222574080'	All Ireland final throw in is just moments away. Join @DarraghMaloney &amp; Martin McHugh on commentary duty live from Croke Park
'648210485377146880'	New Digital Media jobs for Sep 27th on the Adrants job board: http://t.co/KyZEmSNkRm #jobs
'644168132295176192'	Time Inc. names exec VP, business development. http://t.co/Y0obqJPjo4
'644687181450227712'	Harper on Canada's economic future - not just about natural resources but resources are part of it.
'645854225751150592'	#Syria 1,187,102 people newly displaced since January 2015via @UNOCHA http://t.co/tchdFw29Y1 http://t.co/AFtLvWxotq
'648933962845429760'	New Digital Media jobs for Sep 29th on the Adrants job board: http://t.co/xsbL5E5Yk3 #jobs
'642271228909256704'	Asia natural resources head exits @DeutscheBank http://t.co/pzIOCpqOkp
'640726171618004992'	#PNG ToBaining praises surveyors: Source: The #National, Monday September 7th, 2015 EAST New… http://t.co/6UcV4tHFEg
'641089880479637505'	Disadvantaged Business Enterprise CertificationThe Minority Business Development Center of Honolulu, the state... http://t.co/7LIlVd0Sm8
'640857121907720192'	New! This Week’s Sales for September 7th, 2015 http://t.co/XOKLPdKKjX
'641417960117043200'	Alpha Natural Resources and Wyoming regulators announce self-bonding deal in bankruptcy case http://t.co/7Hvhawp0k8
'648580885168701440'	#News ACT Wazalendo party pledges to ensure natural resources benefit public if elected. http://t.co/bcMnA3SI8g
----------
With article id: f4d8fb92-1eb2-4395-9449-e5bfb71a1f77 and link: http://www.bignewsnetwork.com/news/236511049/police-searching-for-suspects-who-vandalized-new-franklin-playground
'640943739515572224'	Labor Day round up in Franklin, MI. http://t.co/1mhk14pLVB
'640911979859824641'	Police identify man found dead inside Franklin Boulevard home on Friday http://t.co/xqHGVm2BA9
'641019748818550784'	#Rays to recall Bellatti and Franklin
'644847134915854336'	Police searching for suspects in Aquadome shooting http://t.co/pBg4En0zCy
'644710327142248449'	State police investigating untimely death in Franklin http://t.co/WOWQV6tVMm
'641289417756270592'	Franklin neighborhood evacuated, school locked down after incident: Police in Franklin are investigating an… http://t.co/wFEi3FCzQs
'638980219592835072'	UPDATE: Franklin Street has reopened. One westbound lane will be blocked for a bit longer.
'641391820577091584'	Aretha Franklin Blocks Screening Of New Documentary Find out why. http://t.co/apC1yUNGRG
'645536714346381312'	Being ignorant is not so much a shame, as being unwilling to learn. (Benjamin Franklin) #quote
'648564622262431744'	Kayla's Playground in Franklin nears completion: http://t.co/ixOfsiG0Hc
'639764800608858112'	Police are investigating a death, person is dead in a playground area near rec center
'645950121948000256'	Police looking for man who fired shots in Franklin http://t.co/ICxCEeMy2S
'647731338221625344'	RT @PhilaOEM: Crowd and excitement building near Franklin Square as visitors line up early for #PopeInPhilly. Come be a part of it http://t…
'640873544348336129'	Bicyclist killed in Franklin on Sunday http://t.co/pTZdG0JsdJ
'640864733512507392'	Vandals strike: Franklin police seek suspects who damaged Kayla's Krew Playground http://t.co/WgvbbAt1nH
'641023395677765632'	#Hartford PD, FD, EMS headed to 289 Franklin Ave. for a stabbing. Initial report is vic with a single stab wound to the abdomen.
'640994571342639104'	Franklin County Fair comes to town http://t.co/Egejc2hmaI
'641800031280984064'	Arlington police are searching for suspects who opened fire with a BB gun on an Uber driver: http://t.co/VOxevcXWPn
'644470400932560896'	Happening now: Police searching for carjacking suspects who hit police car  after carjacking: http://t.co/5qAtonzUMy http://t.co/GRHhCWuV5l
'646302766630064128'	Volunteers will begin final phase of construction on a handicapped-accessible playground in Franklin today: http://t.co/46F9Z5Sc4B
'641017841869651968'	RT @QJPhillips: Geez, the Stamps get to Franklin in a hurry. He needs some help O-Line.
'640296632995737600'	James Franklin lol
'643277330283134976'	JUST IN: @sydneyswans confirm Lance Franklin won't play for the rest of the season. http://t.co/lV5gYWErYE
'646037235293384705'	FBI searches for suspects who vandalized churches with hate symbols http://t.co/CrS9HdNX1B #wftv
'643213000816459776'	RT @Variety: A bidding war has erupted over Aretha Franklin documentary #AmazingGrace http://t.co/R89XX3m0i7 http://t.co/PLoaEvARA2
'641726212033785856'	#UPDATE Police searching for armed robbery suspects who fled a NW Houston gas station http://t.co/l4MIuO9F9I http://t.co/nbZCT9MVuz
'641289289993555968'	Franklin neighborhood evacuated, school locked down after incident: Police in Franklin are investigating an… http://t.co/Z1WxfNm28y
'641719342606843904'	Santa Barbara Police Searching for Carjacking Suspects http://t.co/qNyXNxsbzc
'638754453722636288'	Police in #FoxLake, Illinois are searching for 3 suspects who are wanted for shooting a police officer. #CNN
'641019929282629633'	Bellatti and Franklin likely to join #Rays Tuesday in Detroit
'644435299800498177'	BREAKING: Police searching for carjacking suspects who struck police cruiser | http://t.co/5qAtonzUMy http://t.co/GRHhCWuV5l
'643027288574005248'	Franklin Templeton sees record outflows http://t.co/L79k5Gsl6W
'646283298818408448'	Excited to be at @kaylaskrew in Franklin. The playground is looking good, but they need more help! Details on @tmj4 http://t.co/0jUDtyO4Bs
'647208932411355136'	Franklin County Arrest Log http://t.co/P6lCaJgI1U
'648455603887734784'	RT @FatherOfBen: Benjamin Franklin Mitchell and I representing the @PhilaUnion &amp; @SonsofBen at the #WMF2015 #DOOP #PopeInPhilly http://t.co…
'640011920850812928'	Surveillance video captures suspects ransacking Aiea home: Police are searching for two suspects who b... http://t.co/31FLH5kvnV #HINews
'643869961073655809'	Franklin County police search for robbery suspect http://t.co/uZzUImFycC
'640938827477970944'	Portion Of Highway 23 In Franklin County Expected To Reopen In October http://t.co/3ZHndALdoI
'639792769590915072'	Centennial bear remains elusive. Near Franklin and Arapahoe
'641170022505709568'	Eagles finals tickets snapped up..Buddy Franklin shock..arrests after high speed pursuit..mother's admission over fatal crash #tennews 5pm
'639144790156701697'	Volunteers begin construction on handicap-accessible playground in Franklin: http://t.co/OeT3aBttWT http://t.co/E5VYNV5RnL
----------
With article id: ecee1173-832a-41b9-a479-d7e1093a1dd4 and link: http://www.iol.co.za/caught-in-glencore-s-financial-squall-1.1912406
'644364689388929024'	Vast majority of Illinois students fail new test, preliminary results show http://t.co/NHD30b5Ymu
'641075096996704256'	"It was the first thing in the morning, and the last thing at night; till, I confess, it began to be something of a bore to me."
'646255072947666944'	US biotechs in focus after Clinton price gouging comments | CMC Markets UK http://t.co/6bmAIU4FVK
'647886088191746048'	RT @jmulvenon: No PLA rep on high-level US-China cyber espionage working group...glaring omission? http://t.co/Eq8ig96xOO via @thedailybeast
'646892644627419136'	STOCKS IN FOCUS : Lupin takes 200% price increase in Fortamet; CS upgrades to Outperform
'639751152305864705'	The objective of the march is to force the Chamber of Mines to accede to the NUM wage demands in both Gold and Coal sector.
'646256732419788800'	All of the main metals in London fall more than 1%; Glencore drops 10% http://t.co/gZLlHJTh2j
'640787231741988864'	RT @business: #Glencore up 12.5% in early London trading after announcing planned sale of assets and shares http://t.co/D1IMEFvZmQ
'648968368129576960'	RT @Cole_Anderson86: Wow, I see you forgot to mention the most important one, me. Jeez, talk about a glaring omission.  https://t.co/qtIIoS…
'645096776542851072'	@renaissanceizz This would be down to the rules of your ticket. The fare of the ticket will also have gone up in price since you made it. ^C
'644517754649878528'	@AsafZilka @BDSmovement vast majority of Palestinians support boycott efforts, 86%
'641185645537329152'	By and large, a major crux of the entire discussion was that in terms of its economy India is relatively untouched: Arun Jaitley
'643113467982036992'	Does Hillary face 'trouble?' Generically, yes. But failing to point out that she blows away her potential rivals is a glaring omission 2/3
'641223215549952000'	Glencore has announced plans to suspend production at its copper operations in the Democratic Republic of Congo... http://t.co/byK08O0Z6z
'644457949461630976'	Malema: On the 27th of October 2015, the EFF will lead a protest action and March to the Chamber of Mines, Reserve Bank and JSE.
'645975908705243136'	Monetary Policy Should Focus on Price Stability. Read the story http://t.co/OApURapgHZ
'641185098914770944'	RT @citifmonline: I was part of the transition from O and A levels toward the end - Prof. Djangmah #CitiCBS
'641179182907584512'	ADBI WP537: #Financial #Inclusion, Financial #Regulation, and Financial #Education in #Thailand. http://t.co/XhdLnJnfBs via @ADBInstitute
'642475929781051394'	Opinion:  Ivan Glasenberg, Glencore’s hard charger http://t.co/0wZOBkDFTB
'645948596672708608'	Energy adviser urges limit on price cap http://t.co/u53H4sIdO4
'643691483711668224'	Glencore’s Zambia unit to cut jobs http://t.co/kiRXkEh5l2
'643967732329914373'	Need a new place to live? These probably aren't in your price range: http://t.co/zQxkAWxmtH
'641373754073989120'	RT @vivian: I feel like Jim @Bankoff is a glaring omission from this years's @VanityFair Establishment List 2015 http://t.co/GiAmepwB2w
'648478166034567169'	GLENCORE EXTENDS LOSSES; FALLS 30% IN LONDON TRADING
'642674224667172864'	Peter Obi was a definition of excellence from the last set of governors.  Zero debt and left so much in the treasury, education was tops.
'649287162794516480'	What's the future of energy efficiency? Technology is going to make energy efficiency easy, fun, and engaging. @PPLElectric #projectenvolve
'648925610497052672'	Glencore to meet debt investors in London to ease fears http://t.co/R5KOFU2Hc9 http://t.co/b1aCJ8B9WI
'648441523118456832'	When was the last time $BUD was in the midst of a very large transaction?
'648479756695023616'	*GLENCORE EXTENDS LOSSES; FALLS 30% IN LONDON TRADING
'641184465876709376'	By and large, a major crux of the entire discussion was that in terms of its economy India is relatively untouched: Arun Jaitley
'639504128935235584'	Rep. Price appointed co-chair of committee aimed at healthcare improvement, efficiency. http://t.co/mV1H2swdWf http://t.co/V21E2rgYKH
'641447152829382656'	$2.1B on Waikato Expressway. "low" economic efficiency according to NZTA. Same price would electrify North Island rail. #priorities #nzpol
'641168588620079104'	.@StewartMRegan how was it rectified? Most of the wheelchair users I was beside, including my companion, didn't see the game?
'640493995454517248'	So far on mines #ANCYL resolves that the state expedites the creation of the state owned mining company #SABCNews
'641173943567687680'	PIA-5/ALBAY: The Mines and Geosciences Bureau (MGB) Bicol annouced that the Philippine Society of Mining... http://t.co/fgs8Wjxkt1
'644821940646113281'	Farmer Focus: Goat milk bucking dairy price trend | #OrganicNews http://t.co/0RB3wVaaWH
'641815733404598272'	@67sound Their offensive efficiency is bananas. They should win the whole thing.
'645693166960558080'	@ClarkeMicah Look including me in comment makes it look like I am the the idiot accusing you of spin, and I was the one saying u are not
'648532894017847296'	Gérard Mestrallet, Chairman, CEO @ENGIEgroup says we must get carbon price but also bigger investment in clean energy &amp; efficiency. #CWNYC
'640139388433924096'	RT @KDMobp: The Commisioner has made it clear that at the end of the submissions, a small technical team of experts will be set up in the M…
'641255925383340033'	RT @tomgara: And verily so it was that on the 44th day of the Outrage of the Lion, the Harvester of Teeth broke his silence: https://t.co/V…
'648404532536324096'	"Large financial institutions keep getting caught manipulating markets!" "That new nerdy way to do decentralized financial markets is dumb!"
'646379974887211008'	@superpac I'm way happier owning my own DVR equipment. Price is way better, works way better.
'641360811512885250'	@3_esse: Ha ha! Haven't seen it in a while, and am struck now by its simplicity. And the endearing naiveté of the monk :-)
'644094752791601152'	Elbow's Guy Garvey is going solo with his new album Courting the Squall http://t.co/efsygZCMok
'643653957441703941'	And dropped the price of oil in the process  https://t.co/VMhwKNo1cf
'643422371295137796'	I promise you the vast majority of mobile audiences do not look like the vast majority of the mobile teams in major newsrooms.
'640884779252977664'	Glencore’s Ivan Glasenberg takes a gamble http://t.co/scUO3qXKwH
'641820755060068352'	In the 'world of animals' a bird was killed by the giant machine.  https://t.co/VjmXtBS4mx
'646574853164675072'	Port efficiency improvement has been a major focus area: Secretary, Shipping, Shri Rajiv Kumar
'645972670958297090'	RT @Make_It_Right: If the price seems to good to be true, it probably is. Here I explain what to do when a renovation goes wrong: http://t.…
'640787804608446464'	RT @business: #Glencore up 12.5% in early London trading after announcing planned sale of assets and shares http://t.co/D1IMEFvZmQ
'638627606821081088'	Ciaz diesel hybrid another Maruti masterstroke. Great price (thanks to tax hybrid tax breaks) &amp; record efficiency. http://t.co/c5E8G2zNb8
'645876600139984897'	@BrenFinan vast majority. Tweet with screenshot is in podcast notes
'648431277595566080'	RT @alykhansatchu: Glencore Plunges Record 17% in London Trading http://t.co/FAcORBAEE3 via @businesshttp://t.co/WwCGGs0orV
'640889223936122880'	Glencore’s Ivan Glasenberg takes a calculated gamble http://t.co/BE1PQHI5AX
'639435050149351424'	The aim of which was to ensure discipline, regimentation and justice in the system. 19/
'646038656818528256'	A Radical Way To Rethink Resource Efficiency Starts With...Cacti? http://t.co/jGuCkecBCj
'642955918179741696'	RT @anthonywx: Squall line with bow segments progressing across French/Italian Riviera. http://t.co/O58Yr8ibnb
'646837364405481473'	Capturing Southeast Asia’s financial-system opportunity - The vast majority of the region’s transactions are in ca... http://t.co/79VvsdSu4K
'640942956640272384'	RT @economic_hitman: "The fact is, we are engaged in a war of survival. The way to win it will be to focus on the global problem." - #Hoodw…
'643013797112848384'	The idea of #SANParksMAHALAWeek was conceived in SA in 2006 afterrealising that a vast majority of SAfricans were not accessing the NPs
'644041486326214656'	All those people who thought Twitter was representative of the nation in the run-up to the election seem to be at it again #Corbyn
'648423937953677313'	BREAKING: Glencore falls 17% in London - its largest ever intraday decline http://t.co/FkopLEsBGk http://t.co/hbe9tgIhY4
'648563627482574848'	RT @business: BREAKING: Glencore falls 17% in London - its largest ever intraday decline http://t.co/FkopLEsBGk http://t.co/hbe9tgIhY4
'641116270247579649'	@tcarmody But the chip derailed that, and once the IDEA of the chip was out there, Data's emotional arc derailed.
'644625669587124224'	Squall moving over Rockford, IL- https://t.co/uDze0Gwppe
'641975329398071296'	Bringing transparency, price efficiency&amp; transaction-based benchmarks to interbank lending aligns with @CBOE’s values, expertise, experience
'641115278236090368'	Nderitu: That is why the prosecution request on the issue of interference was denied #PowerBreakfast
'647053818371313664'	RT @edatpost: "It is important that today, as in the past, the voice of faith continue to be heard, for it is a voice of fraternity and lov…
'649193645862715392'	@cestriankeef The vast majority of the feedback we've received has been overwhelmingly positive.
'641111973153914880'	The last quarter of the movie was non-stop, "And THAT'S the origin of THAT!"
'642249232464764928'	Hidden cost of Glencore’s African retreat http://t.co/63wHJbPQn4
'640448854119333888'	@DigitalWasp @KevinMullins10 think I was being helpful to the many (the vast vast majority) of good people in the party.
'646256774056509440'	RT @business: All of the main metals in London fall more than 1%; Glencore drops 10% http://t.co/gZLlHJTh2j
'644491856403935232'	[CNA] SMRT says it cannot explain jump in share price http://t.co/I6aAH9G35b #SGnews
'642729549520875520'	This is also a triumph for those of us who represent the will to put politics at the service of the people http://t.co/xz7h1PL0d0
----------
With article id: 1305bae3-4711-4c15-abe8-bdfd34cfd6db and link: http://www.bloomberg.com/research/markets/news/article.asp?docKey=600-201509080939M2______EUPR_____ea34000001d66b1c_3600-1
'642099848863457280'	(Update) U.N. General Assembly overwhelmingly approves #Palestinian request to fly its flag http://t.co/1i59RfbjJH
'645126218711453696'	The press release entitled, "Chronology and Update: Freeway shootings," has been updated here: http://t.co/MI723eDGnk
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'640186972624003073'	@SxtrickyLa IF you can supply us with your email we will update your records.
'648668855942926337'	am loving @BernieSanders
'645382659812798464'	If you update to iOS9 on your iPhone, you can find and subscribe to @WVGazetteMail in the new news app.
'648605284169052161'	RT @ATCEMS: UPDATE ~24800 Hamilton Pool Rd: FD, STARFlight, ground unit just arriving onscene, no updated patient information, MTF
'641200982479765504'	@KeshiaKon Can you leave us your contact information, booking reference number and membership number so our team could follow up? -Chloe
'641333169392865285'	@daniyalkhan57 Will update you on this.
'639836575791218688'	@LaughingJ0ker Update will follow ASAP.
'641184993339817984'	@SantosChaubey1 Our team is working on your concern and will call you back to share an update. - Roshan
'643891570287247360'	"We regret the court's decision; we understand the Government is considering all legal options"
'645818850760650752'	@leighbooth Could you please DM us your booking reference and flight details and we will chase up an update :) ^NM
'640684167206862848'	@mumdaze Probably won't update past stories, however may be filing updated ones
'641238682280792064'	@PHAC_GC When we take the entirely unnecessary step of emailing you to request an update, we find your address is bogus. You can do better.
'641091716724842496'	FIRE UPDATE: Click the link for the most updated information about the fire in Paintsville. http://t.co/9rTYZctqU2
'641256633021022208'	@Melnatx Great, thanks for the update! Let us know if you have any more trouble :) ^GC
'641751914342805504'	LAW REVIEW: Deciphering legal terms in contracts. http://t.co/pGILP4iMxD http://t.co/CYlHol2Gql
'646762209264144385'	Update on my Halloween hack request: https://t.co/nXXhSWfzle #parenthacks
'639715385814593536'	@kayetinga If you could send us a DM with your contact information that will be great, so our team could follow up with you. -Chloe
'638539010558795776'	UPDATE: Newtown Police have responded to @BuzzFeedNews request for comment - http://t.co/k9M5MaPzmP http://t.co/o5rrP6Wr3z
'649136926495244288'	UPDATE - Kremlin approves Putin's request to use military force abroad http://t.co/d0A8EStfKe http://t.co/Fa2VqUJTHl
'642972677024653312'	@JonPodany I have sent a request over to the baggage department for an update. *KC
'647326735407706112'	2. Know your partners 3. Understand the legal framework of FDI in #Iran says @DentonsEMEA #EuIranForum
'648801913580859392'	@Zed_04 mine updated and seems to be okay now maybe see if there's an update?
'643454988027621376'	@dtorrington Hi there. We have requested feedback from the relevant department and will update you once it has been received. Thank you
'643819784782618624'	What Part of Legal #Immigration Don’t You Understand? http://t.co/iSmwMBpfBx
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'639795523810037760'	RT @MatthewKeysLive: Area Man Doesn’t Understand Legal System http://t.co/O98OBRGjXD
'649136925866074112'	UPDATE - Kremlin approves Putin's request to use military force abroad http://t.co/d0A8EStfKe http://t.co/qI47ireNNC
'638568265032167424'	Please read this. I personally don't understand how cigarettes are still legal. http://t.co/QPTZHpFHNr
'644033981898485760'	@Aadee_khi Will have this checked again and update you accordingly
'641139739618332672'	@jr_de_Graaf working hard to get back in line. If you have other questions you can contact our Sales Office and see if they can help. 2/2
'641182337586216960'	@tweetlalit Our team is working on your concern and will call you back to share an update. - Roshan
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'644196793660608512'	2. @brokenbottleboy has updated his post. You should read the update if you missed that bit.
'640926353349570561'	@Xlib which lawyers, law professors &amp; legal experts are you looking to to understand this ruling?
'640589870889574400'	@rick_hough Coincidence. I teach legal English too :) @theitalianlawjo
'648605192754229248'	UPDATE ~24800 Hamilton Pool Rd: FD, STARFlight, ground unit just arriving onscene, no updated patient information, MTF
'644999307918221313'	RT @publiceyestl: MTC/Uber update. Judge Autry just denied Uber's request for a TRO. I have not other information.
'638505456974077952'	@ellenwatson Hello, please follow/DM the confirmation # and I will submit your request.  *RS
'643640399446147072'	Don't torrent; find cheap games the easy AND legal way. http://t.co/npbh5nZ5GN
'643705823043166208'	@charliec88 Can you DM your membership number and contact information so our team could follow up with you? -Chloe
'641115003307880448'	Have our analysts do the research while you trade and profit. http://t.co/rgg11TwyWt
'644303569005477888'	@carenglasser Can you follow and Direct Message your confirmation code so I could research?  -Gabe
'641148008982118400'	@snakenewton Sorry to  hear this. We've requested another update from the team and we'll get back to you as soon as we hear from them.
'642361596694495232'	Watchwords: English, and the Oxford English Dictionary, continue to evolve http://t.co/Uj9B3CcMya
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'643451894497718272'	RT @KSUTechHelp: UPDATE: For registration issues during the outage, call 330-672-HELP to submit a support request w/ your student ID number…
'646282898383831040'	[updated blog post] lots of internal and external dialog prompted an update!  http://t.co/dBOQP3MaCO
'639932809134522368'	@aldrete1977 Not sure if we totally understand, so you tried and the update failed? Is this the case? ^FC
'641308925476913153'	@EpicMatty2100 Great, good to hear! Thanks for the update. Let us know if you have any other questions! ^GC
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'644710218308325376'	@EilidhEggs Hi Eilidh, thank you for the given information. We have forwarded this to the team to look into this and will update if any!
'639083747275603969'	@ucsigmachi Our flight information team probably hasn't updated the board. We hope to have an update soon.  ^JH
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
----------
With article id: da45ca1d-a57f-4a8f-a99f-9c9a63310b0c and link: http://www.telegraph.co.uk/news/earth/energy/11849533/It-is-not-too-late-to-rethink-this-countrys-nuclear-power-strategy.html
'641322361917194241'	The UK has been one of the main beneficiaries from free movement of labour in the EU http://t.co/sqe9fmrZ8e
'645851816396255233'	Eish!! Is it not too late in life to understand and embrace rugby?  https://t.co/NL6H8jyzuJ
'649004980708507648'	RT @richelord: Jeb Bush holds energy policy "tent revival" in fracking country @CPotterPgh reports http://t.co/o7EF0yuvLf
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'640018837576925184'	@djolder It was really fantastic. And the perk of being late to the party is I only have 3 months to wait for the next one.
'641568489698951168'	PM says he hopes whole country will come together to deal with refugee crisis properly #pmqs
'641215694344986624'	"He's been one of the worst Labour leaders we've ever had." @SimonDanczuk on EdM on #BBCDP
'639492962053959680'	Harper: "Our country has the most generous refugee system in the world."
'645915496471244800'	Lumber self-sufficiency rate climbs above 30% first time in 27 years http://t.co/XHu9qzckrP
'639704503944548356'	.@BarnsGreg Real problem with citizenship bill is that it won't deter, it's far too broad and it allows ministers too much secretive power
'641881066840674305'	Refugee assessment will be done in the refugee welcome centres set up around the country-@FitzgeraldFrncs http://t.co/uUo2yFkXmL
'648961592760107012'	@Miffy_UK I am! Is it too late?
'644758629535514625'	#LIVE: We want to focus on giving the poor a life of dignity and self-sufficiency: Narendra Modi.
'642006627227422720'	RT @ReutersOpinion: The Indochinese refugee crisis has lessons to offer for today’s Syrian exodus: http://t.co/wiTqzuSReX http://t.co/bVCb8…
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'643616581394694144'	Abbott thanks family, staff especially COS Credlin, and the country.
'639137158767464448'	Of 99 nuclear reactors in the country, the Pilgrim nuclear power plant in Plymouth is now one of three with the lowest safety rating.
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'640146676653625344'	@Graeme__McGuire the approach to Assad has been completely wrong and i hope its not too late to change it @Dannymakkisyria
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'638708648257191937'	Matiase: The only solution to deal with this problem is to vote the ANC out of power and replace it with a radical and militant party, EFF.
'647032468026036224'	@shibuyashadows what you're really talking about is dependency. The route to independence isn't cash, it's self-sufficiency.
'644590901143162880'	It is no doubt of shame and embarrassment to Fransman that it is a DA government which is the leader in South Africa at caring for the poor
'640896141299724288'	RT @BougieBlackGurl: If you are reading this you're not too old and it is not too late. It is only too late when you are dead. #MondayMotiv…
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'645698067782496256'	@juansantoswx Too early to know at this point and there may not be much of a difference by the time the event is over.
'648488530189135872'	@BeanfromPa @meyerbade No, refugees. If you are fleeing a war-torn country, you are a refugee.
'641186908463230976'	Ease of doing business, cost of labour and capital, stalled projects was raised by participants at the meeting, says @arunjaitley
'641120056827473920'	It is not too late to rethink this country's nuclear power strategy http://t.co/h2niSeJWcj
'641519665521524736'	(I too find it hilarious this is on our country's official website DEAR GOD this is silly)
'641306373507170304'	on the US labour movement and how it dealt with slavery and racism https://t.co/rxr9C4OfZU
'639132799853838336'	Which country has the most wind energy capacity? Take the quiz and find out! http://t.co/8s7pAZdXDq #wind #energy #green
'639173749556678656'	It is indeed very late to fashion Israel anew - but it’s not too late http://t.co/ZZqmE7RjtP http://t.co/3k2JCzIzk1
'638766156371857408'	RT @ArnieEtc: @EDWARD5658 Agree. But it was exactly the same when Labour was in power too. Time for @YorkshireFirst
'641051221445472256'	@AndsomeHandsome Please disconnect your router and console from the power source for 3 minutes, reconnect them and try again.
'643778789718163458'	Editorial: For food self sufficiency http://t.co/JhIeSjd8lv
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'648901426647826432'	RT @sperrineWTAE: Going to talk to @JebBush about his energy plan. He's in frack country. #WTAE
'644930287692939266'	Ho Polytechnic seeks self-sufficiency in energy http://t.co/54CijkHv62
'641111973153914880'	The last quarter of the movie was non-stop, "And THAT'S the origin of THAT!"
'644755882924863488'	'We want to focus on giving the poor a life of dignity and self-sufficiency': PM Modi in Varanasi
'641339396541693952'	The Green Lantern theory of baseball? If only the fans had shown up and cheered louder, Harper would have homered!
'649281818127114240'	@Paulnuk @Schroedinger99 @david_colquhoun Interesting. And no argument.  Makes sense -thinking of various nuclear power accidents too.
'645827939066617858'	At 0810: @AmberRudd_MP on the government's guarantee of a £2bn investment by China in Hinkley Point nuclear power station.
'641244799056642050'	Is it too late to re-consider the Song of the Summer? https://t.co/dhQar5uEma
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'638841993158893568'	RT @PIDF01: Deputy PM Thailand opens the Thailand Self Sufficiency Exhibition #PIDFSummit #climateaction #climatechange http://t.co/Y37pX5K…
'639503615347060736'	"I think that he's a low energy person, and that's not what this country needs." - Trump on @JebBush
'648668855942926337'	am loving @BernieSanders
'647377473907240960'	"Time to rethink Syria". Finally, the geniuses start to get it. Too late as usualhttp://t.co/6ToIphALBv
